,Image.Name,Date,Altitude,var,dens,Rows,Plots,Intensity,Hue,Saturation,Lightness,a.,b.,u.,v.,GA,GGA,CSI,NGRDI,NGRDIveg,TGI,TGIveg
94,R-001_Plot-014,2022-05-03,50m,HONDIA,140,R1,114,0.1503752,126.52024,0.18964386,18.986023,-13.400895,11.796128,-8.841074,11.354224,0.945629159,0.883356019,6.585365854,0.3018,0.3214,1741.0755,1784.97
24,R-001_Plot-010,2022-03-09,15m,BOLOGNA,280,R1,110,0.24309711,88.41421,0.116788805,28.250574,-7.376974,11.894105,-3.5531929,12.854185,0.758127075,0.544819427,28.13613374,0.0774,0.1096,1089.5624,1281.0252
25,R-001_Plot-010,2022-01-19,15m,BOLOGNA,280,R1,110,0.3434756,37.38762,0.107665,38.143085,-1.5985116,12.646217,4.0443172,14.182637,0.05696496,0.008465626,85.13888889,-0.0355,0.0111,421.7374,657.8464
26,R-001_Plot-010,2022-06-02,50m,BOLOGNA,280,R1,110,0.22879986,36.74779,0.20717973,25.879627,-0.15622304,13.849898,5.5178804,12.861986,0.042460678,0.002268603,94.6571683,-0.0698,0.0169,521.3901,888.0632
27,R-001_Plot-010,2022-04-19,50m,BOLOGNA,280,R1,110,0.10166138,118.53757,0.2169537,12.675417,-11.63069,38.603973,-6.0771,8.544767,1,0.991984271,0.801572898,0.3017,0.3017,1550.7152,1550.7152
109,R-001_Plot-015,2022-05-03,50m,MARCOPOLO,280,R1,115,0.14136559,111.61153,0.14304894,16.743908,-9.278005,10.175509,-5.179122,9.042096,0.877873563,0.822519661,6.305452666,0.1955,0.23,1222.9685,1292.3538
29,R-001_Plot-010,2022-03-09,30m,BOLOGNA,280,R1,110,0.2262022,83.44757,0.13813406,26.389421,-7.0482383,12.276393,-2.9998102,12.760739,0.789376426,0.502351452,36.36097618,0.0696,0.0936,1094.4193,1240.4135
30,R-001_Plot-010,2022-03-22,50m,BOLOGNA,280,R1,110,0.16531877,99.46463,0.1414265,19.358242,-8.024448,10.574875,-4.1978254,9.891729,0.970886267,0.824901694,15.03621777,0.1116,0.1155,1106.2848,1121.9789
31,R-001_Plot-010,2022-04-05,50m,BOLOGNA,280,R1,110,0.09242821,118.32196,0.17021036,10.484771,-8.9816885,35.920143,-4.1326127,6.1035457,0.99981095,0.995840895,0.397080513,0.2524,0.2525,1100.774,1100.772
123,R-002_Plot-016,2022-05-03,50m,HONDIA,280,R2,201,0.120333016,136.92935,0.30097747,15.336622,-13.846613,10.236183,-8.688137,9.157997,1,1,0,0.3625,0.3625,1687.0468,1687.0468
141,R-002_Plot-017,2022-02-03,30m,BOLOGNA,560,R2,202,0.2993988,38.49613,0.10873693,33.323143,-1.6443899,11.500449,3.285656,12.403052,0.066294524,0.001201489,98.18765036,-0.0331,0.0064,393.7272,696.9583
138,R-002_Plot-017,2022-05-03,50m,BOLOGNA,560,R2,202,0.13052838,113.39212,0.22327775,16.832525,-12.959733,13.374074,-7.664084,11.610432,1,0.999546279,0.045372051,0.2664,0.2664,1830.5104,1830.5104
35,R-001_Plot-011,2022-01-19,30m,MARCOPOLO,70,R1,111,0.3751925,33.778004,0.11496836,41.5049,-0.7889906,13.848442,5.827451,15.694053,0.009969417,0.002097366,78.96200185,-0.0459,0.0205,390.2014,662.2268
