"","Image.Name","Date","Altitude","var","dens","Rows","Plots","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"22","R-002_Plot-020","2022-02-03","15m","MARCOPOLO","35","R2",205,0.30021986,29.50936,0.11093813,33.126556,-0.028362228,11.251905,5.233785,11.862741,0.0191281564402052,0.00244897808983389,87.1969988457099,-0.0571,0.0104,200.2206,585.5278
"23","R-002_Plot-020","2022-04-05","50m","MARCOPOLO","35","R2",205,0.27895835,40.025616,0.16214424,31.536098,-1.4028213,13.922087,4.4707627,14.312611,0.247844827586207,0.0612900786448881,75.2707856598017,-0.037,0.0312,588.9266,952.2907
"24","R-002_Plot-020","2022-02-14","30m","MARCOPOLO","35","R2",205,0.27659556,30.911358,0.11364138,30.545921,-0.2530401,10.752211,4.5816927,11.061424,0.0165017416451848,0.00114569762822112,93.057110862262,-0.0535,0.0079,221.2748,614.8631
"25","R-002_Plot-020","2022-02-14","15m","MARCOPOLO","35","R2",205,0.27631986,34.93627,0.110750854,30.633703,-1.0121706,10.785819,3.6563697,11.23098,0.0587607545281255,0.00634967948010274,89.1940130260521,-0.043,0.0105,300.5887,583.7025
"26","R-002_Plot-020","2022-02-02","30m","MARCOPOLO","35","R2",205,0.33588406,31.070059,0.12120545,37.18372,-0.0726133,12.951005,6.157266,14.084739,0.00110579479000532,0,100,-0.0553,0.0038,291.2466,640.1923
"27","R-002_Plot-020","2022-03-09","30m","MARCOPOLO","35","R2",205,0.31738782,40.11618,0.10996586,35.389236,-1.9610212,12.168484,3.247739,13.39692,0.138241354140681,0.0224704567083368,83.7454885710466,-0.0296,0.0217,456.3147,914.8299
"28","R-002_Plot-020","2022-03-22","50m","MARCOPOLO","35","R2",205,0.3320501,35.393192,0.10209119,36.77643,-1.284972,11.882998,4.0654316,13.185418,0.0394736842105263,0.000529340592861464,98.6590038314176,-0.0364,0.005,343.1759,732.433
"29","R-002_Plot-020","2022-04-19","50m","MARCOPOLO","35","R2",205,0.2286247,70.865074,0.19338274,27.007761,-6.476942,14.80807,-1.5230482,14.912514,0.680164851784634,0.466235632183908,31.4525543387626,0.0466,0.0964,1233.5352,1452.9362
"30","R-002_Plot-020","2022-05-03","50m","MARCOPOLO","35","R2",205,0.24035068,96.60014,0.1436429,28.826881,-10.164126,14.026209,-6.038002,15.264896,0.867816091954023,0.749168179068361,13.6720111537121,0.1129,0.1354,1545.7346,1625.107
"31","R-002_Plot-022","2022-03-22","50m","HONDIA","35","R2",207,0.33062306,33.833527,0.11174101,36.644985,-0.84274,12.364869,4.850518,13.569125,0.0866606170598911,0.00412129461584997,95.2443280977312,-0.0418,0.0148,335.5881,847.2949
"32","R-002_Plot-022","2022-02-03","15m","HONDIA","35","R2",207,0.29580733,28.28354,0.10479659,32.554104,0.058046024,10.720287,5.0824547,11.259292,0.0215992139718708,0.00343887306528891,84.0787119856887,-0.0565,0.0108,157.6627,524.8548
"33","R-002_Plot-022","2022-02-14","15m","HONDIA","35","R2",207,0.2756882,34.733242,0.12002307,30.619095,-0.8221262,11.251031,4.081555,11.630453,0.0447127096626997,0.00510771087706903,88.5766017859347,-0.0466,0.0126,320.553,626.7909
"34","R-002_Plot-022","2022-02-02","30m","HONDIA","35","R2",207,0.33370903,26.236448,0.11659634,36.70793,0.956753,12.341226,7.232299,13.236918,0.000712387028176502,0,100,-0.0657,0.0094,135.4632,740.1493
"35","R-002_Plot-022","2022-03-09","30m","HONDIA","35","R2",207,0.32444823,35.815174,0.1133247,36.054005,-1.1934838,12.392499,4.3719096,13.576359,0.0836821243451507,0.0106254215520507,87.302638842884,-0.0396,0.0204,382.3453,929.7905
"36","R-002_Plot-022","2022-04-05","50m","HONDIA","35","R2",207,0.2773738,46.94835,0.15459037,31.550146,-2.792434,13.788451,2.6736293,14.4307575,0.36263611615245,0.169275559588627,53.3208216035867,-0.0154,0.0528,723.8761,1132.6014
"37","R-002_Plot-022","2022-03-09","15m","HONDIA","35","R2",207,0.30514702,40.061676,0.10093492,33.935555,-1.9387006,11.255265,2.8335109,12.300831,0.18975072310172,0.0646982844273697,65.9035373516407,-0.0258,0.0368,401.6863,886.9723
"38","R-002_Plot-022","2022-02-14","30m","HONDIA","35","R2",207,0.27696756,29.157728,0.12558526,30.597168,0.3775382,11.3155575,5.6072993,11.487033,0.0108286904860899,0.000720680766139091,93.3447098976109,-0.0629,0.0106,199.9566,642.5128
"39","R-002_Plot-022","2022-04-19","50m","HONDIA","35","R2",207,0.24143346,90.65309,0.17316079,29.226303,-10.268394,15.518079,-5.69802,16.641129,0.776693889897157,0.643829401088929,17.1064161230649,0.1113,0.1572,1672.6741,1892.2135
"40","R-002_Plot-022","2022-05-03","50m","HONDIA","35","R2",207,0.21556015,127.08499,0.16803211,27.356878,-16.003872,14.054663,-12.265708,15.802581,0.985556563823351,0.963286448880823,2.25964858436277,0.2429,0.2469,2178.7681,2192.5483
