 ,File Name,NGRDI,NGRDIveg,TGI,TGIveg
1,R-001_Plot-001.tif,0.2736,0.2736,1402.1215,1402.1215
2,R-001_Plot-002.tif,0.2316,0.2316,1084.9741,1085.0588
3,R-001_Plot-003.tif,0.2142,0.2142,1338.3462,1338.3462
4,R-001_Plot-004.tif,0.2307,0.2314,1268.2449,1270.2859
5,R-001_Plot-005.tif,0.1844,0.1844,1127.5510,1127.5510
6,R-001_Plot-006.tif,0.2818,0.2818,1456.8353,1456.8917
7,R-001_Plot-007.tif,0.2753,0.2753,1372.5100,1372.5100
8,R-001_Plot-008.tif,0.1307,0.1313,1197.3140,1199.7325
9,R-001_Plot-009.tif,0.1286,0.1309,1014.9733,1021.9366
10,R-001_Plot-010.tif,0.0874,0.0884,1201.5812,1206.1603
11,R-001_Plot-011.tif,0.1561,0.1567,966.0403,967.6516
12,R-001_Plot-012.tif,0.2479,0.2482,1222.7571,1223.4677
13,R-001_Plot-013.tif,0.1351,0.1395,1067.4471,1082.3319
14,R-001_Plot-014.tif,0.2609,0.2609,1239.5319,1239.5319
15,R-001_Plot-015.tif,0.1645,0.1645,947.0141,947.2151
16,R-002_Plot-016.tif,0.2831,0.2831,1314.9066,1314.9066
17,R-002_Plot-017.tif,0.1275,0.1275,1298.9746,1299.0284
18,R-002_Plot-018.tif,0.1945,0.1945,1049.4519,1049.4519
19,R-002_Plot-019.tif,0.1598,0.1599,1305.6719,1306.1283
20,R-002_Plot-020.tif,0.1565,0.1591,1197.2610,1204.6834
21,R-002_Plot-021.tif,0.2256,0.2256,1400.0291,1400.0291
22,R-002_Plot-022.tif,0.2183,0.2183,1358.1999,1358.1999
23,R-002_Plot-023.tif,0.1762,0.1762,1181.3797,1181.4859
24,R-002_Plot-024.tif,0.1267,0.1284,1364.1349,1370.7027
25,R-002_Plot-025.tif,0.1287,0.1380,1532.7102,1572.7168
26,R-002_Plot-026.tif,0.3272,0.3272,1536.1001,1536.1001
27,R-002_Plot-027.tif,0.2446,0.2447,1328.8324,1329.0501
28,R-002_Plot-028.tif,0.2162,0.2164,1391.8049,1392.2932
29,R-002_Plot-029.tif,0.2772,0.2773,1447.8688,1448.2690
30,R-002_Plot-030.tif,0.1964,0.1967,1147.8800,1148.7334
31,R-003_Plot-031.tif,0.2052,0.2053,1402.2635,1402.6580
32,R-003_Plot-032.tif,0.2144,0.2147,1334.3812,1335.3302
33,R-003_Plot-033.tif,0.2299,0.2300,1617.5962,1617.6347
34,R-003_Plot-034.tif,0.2794,0.2794,1528.7708,1528.7708
35,R-003_Plot-035.tif,0.1988,0.1991,1127.3805,1127.8866
36,R-003_Plot-036.tif,0.1253,0.1255,1382.0905,1383.1198
37,R-003_Plot-037.tif,0.2717,0.2717,1472.6117,1472.6117
38,R-003_Plot-038.tif,0.1489,0.1492,1078.4400,1078.7989
39,R-003_Plot-039.tif,0.0414,0.0492,1415.0796,1425.6053
40,R-003_Plot-040.tif,0.0797,0.0931,1174.9747,1222.3142
41,R-003_Plot-041.tif,0.2667,0.2667,1395.8762,1395.8762
42,R-003_Plot-042.tif,0.1899,0.1900,1104.2837,1104.3653
43,R-003_Plot-043.tif,0.1499,0.1512,1259.9293,1264.2368
44,R-003_Plot-044.tif,0.0858,0.1050,891.4752,958.4211
45,R-003_Plot-045.tif,0.2273,0.2273,1235.3409,1235.4116
46,R-004_Plot-046.tif,0.1985,0.1989,1223.1715,1223.6942
47,R-004_Plot-047.tif,0.1462,0.1462,1072.8034,1072.8622
48,R-004_Plot-048.tif,0.1600,0.1605,1230.7243,1231.6197
49,R-004_Plot-049.tif,0.1598,0.1598,1370.7513,1370.7513
50,R-004_Plot-050.tif,0.2463,0.2463,1373.3464,1373.3464
51,R-004_Plot-051.tif,0.1552,0.1554,969.4667,970.2996
52,R-004_Plot-052.tif,0.1203,0.1247,960.4378,969.1968
53,R-004_Plot-053.tif,0.2483,0.2483,1364.4746,1364.4746
54,R-004_Plot-054.tif,0.1002,0.1005,1388.4099,1389.1443
55,R-004_Plot-055.tif,0.1069,0.1083,1330.7802,1334.9547
56,R-004_Plot-056.tif,0.1051,0.1181,1028.4729,1073.2400
57,R-004_Plot-057.tif,0.2204,0.2204,1508.2524,1508.2524
58,R-004_Plot-058.tif,0.1969,0.1969,1347.5834,1347.5834
59,R-004_Plot-059.tif,0.1934,0.1943,1301.2593,1302.5709
60,R-004_Plot-060.tif,0.2748,0.2748,1665.4412,1665.4412
