"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",1,-0.813887973505377,0.692757489154243,-0.0122491501029237,-0.798247371633797,-0.572988021481211,-0.288535535757759,-0.532157521138131,-0.413749070143202,0.719977822716295,0.757086563512509,-0.690035455798037,0.54034614235442,0.82896281258819,0.832261698659763,0.219123685174525
"Intensity",-0.813887973505377,1,-0.769324812447902,0.161267018616282,0.997652093067841,0.648846901917199,0.499027507641012,0.662183939983329,0.661016949152542,-0.782939705473743,-0.807357804085046,0.732703528757988,-0.629339928579217,-0.812382771632317,-0.807113086968603,0.0591831064184496
"Hue",0.692757489154243,-0.769324812447902,1,-0.565379272020006,-0.757832145560014,-0.96799110864129,-0.749485968324535,-0.95087524312309,-0.779883300916921,0.976771325368158,0.941370974827825,-0.699638788552376,0.953776901782932,0.579677930363622,0.911808835787719,-0.283467629897194
"Saturation",-0.0122491501029237,0.161267018616282,-0.565379272020006,1,0.167521082554129,0.707974437343707,0.907863295359822,0.753487079744374,0.784829119199778,-0.57454848569047,-0.524743671880028,0.313253681578216,-0.756297151135553,0.0582456827441108,-0.252848013337038,0.844790219505418
"Lightness",-0.798247371633797,0.997652093067841,-0.757832145560014,0.167521082554129,1,0.639881076486821,0.510815654615212,0.6582753303682,0.675974937199678,-0.776365328851373,-0.800450143873188,0.732074632949684,-0.622262976787969,-0.804793668998682,-0.7838953028723,0.0799955542666012
"a.",-0.572988021481211,0.648846901917199,-0.96799110864129,0.707974437343707,0.639881076486821,1,0.837454848569047,0.987051958877466,0.826840789108086,-0.953209224784663,-0.908888827492493,0.639455404278966,-0.99140003142646,-0.44615192579041,-0.820505696026674,0.427118644067797
"b.",-0.288535535757759,0.499027507641012,-0.749485968324535,0.907863295359822,0.510815654615212,0.837454848569047,1,0.892914698527369,0.965268130036121,-0.780772436787997,-0.747283892588905,0.527146429563768,-0.872834378406569,-0.220116437507682,-0.471297582661851,0.777993887190887
"u.",-0.532157521138131,0.662183939983329,-0.95087524312309,0.753487079744374,0.6582753303682,0.987051958877466,0.892914698527369,1,0.889858293970548,-0.948763545429286,-0.90711050633812,0.648180050013893,-0.992483710936133,-0.425588087417012,-0.770325090302862,0.515420950263962
"v.",-0.413749070143202,0.661016949152542,-0.779883300916921,0.784829119199778,0.675974937199678,0.826840789108086,0.965268130036121,0.889858293970548,1,-0.825784940261184,-0.808608186146714,0.631397610447347,-0.85418953350937,-0.371427383376806,-0.537871631008614,0.698805223673243
"GA",0.719977822716295,-0.782939705473743,0.976771325368158,-0.57454848569047,-0.776365328851373,-0.953209224784663,-0.780772436787997,-0.948763545429286,-0.825784940261184,1,0.980688544100276,-0.768880244512365,0.946191145215219,0.624279228457275,0.874020561267019,-0.312253403723256
"GGA",0.757086563512509,-0.807357804085046,0.941370974827825,-0.524743671880028,-0.800450143873188,-0.908888827492493,-0.747283892588905,-0.90711050633812,-0.808608186146714,0.980688544100276,1,-0.863124844035442,0.902896839267416,0.724436913763092,0.857400872819806,-0.280724665978497
"CSI",-0.690035455798037,0.732703528757988,-0.699638788552376,0.313253681578216,0.732074632949684,0.639455404278966,0.527146429563768,0.648180050013893,0.631397610447347,-0.768880244512365,-0.863124844035442,1,-0.637231338341966,-0.850620395418527,-0.646568491247569,0.220283412058905
"NGRDI",0.54034614235442,-0.629339928579217,0.953776901782932,-0.756297151135553,-0.622262976787969,-0.99140003142646,-0.872834378406569,-0.992483710936133,-0.85418953350937,0.946191145215219,0.902896839267416,-0.637231338341966,1,0.417741219771034,0.782472179292276,-0.48810036581847
"NGRDIveg",0.82896281258819,-0.812382771632317,0.579677930363622,0.0582456827441108,-0.804793668998682,-0.44615192579041,-0.220116437507682,-0.425588087417012,-0.371427383376806,0.624279228457275,0.724436913763092,-0.850620395418527,0.417741219771034,1,0.705172922382899,0.186297260074675
"TGI",0.832261698659763,-0.807113086968603,0.911808835787719,-0.252848013337038,-0.7838953028723,-0.820505696026674,-0.471297582661851,-0.770325090302862,-0.537871631008614,0.874020561267019,0.857400872819806,-0.646568491247569,0.782472179292276,0.705172922382899,1,0.0712420116699083
"TGIveg",0.219123685174525,0.0591831064184496,-0.283467629897194,0.844790219505418,0.0799955542666012,0.427118644067797,0.777993887190887,0.515420950263962,0.698805223673243,-0.312253403723256,-0.280724665978497,0.220283412058905,-0.48810036581847,0.186297260074675,0.0712420116699083,1
