"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",1,-0.777140523196606,0.801638823402454,-0.105478792552954,-0.750270867200563,-0.771015948145144,-0.45934312885964,-0.786667639943325,-0.526713454425721,0.868328640629483,0.913922699345921,-0.89759049920869,0.792814244037818,0.911012302054173,0.790070181638581,0.685271897424678
"Intensity",-0.777140523196606,1,-0.668908030008336,-0.116254515143095,0.996929660135944,0.590552931369825,0.543762156154487,0.654459572103362,0.759044178938594,-0.761489302584051,-0.793609335926647,0.79244234509586,-0.618522326505133,-0.767507791905417,-0.655237565990553,-0.439510975270909
"Hue",0.801638823402454,-0.668908030008336,1,-0.367935537649347,-0.637074702405221,-0.98388441233676,-0.567157543762156,-0.967546540705752,-0.471464295637677,0.961933870519589,0.920533481522645,-0.716532370102806,0.978076634904792,0.697032023918158,0.976160044456794,0.62745207001945
"Saturation",-0.105478792552954,-0.116254515143095,-0.367935537649347,1,-0.139790772322081,0.477021394831898,0.655126424006669,0.516087802167269,0.309141428174493,-0.360933592664629,-0.29647124201167,0.111419838844123,-0.493900914358883,0.0277345490738506,-0.240955821061406,0.182717421505974
"Lightness",-0.750270867200563,0.996929660135944,-0.637074702405221,-0.139790772322081,1,0.556606788144687,0.539574042481114,0.624015337867082,0.767418274848648,-0.731907917657708,-0.765306547816949,0.772086303023983,-0.586534587494261,-0.745911329179487,-0.621820253189395,-0.407396601825949
"a.",-0.771015948145144,0.590552931369825,-0.98388441233676,0.477021394831898,0.556606788144687,1,0.596443456515699,0.982439566546263,0.454015004167824,-0.943706585162545,-0.898971936649069,0.68085579327591,-0.993136792180883,-0.650066705346206,-0.951486524034454,-0.589941650458461
"b.",-0.45934312885964,0.543762156154487,-0.567157543762156,0.655126424006669,0.539574042481114,0.596443456515699,1,0.705084745762712,0.899360933592665,-0.658571825507085,-0.636343428730203,0.525534870797444,-0.643863402954938,-0.35482437131756,-0.424340094470686,0.125812725757155
"u.",-0.786667639943325,0.654459572103362,-0.967546540705752,0.516087802167269,0.624015337867082,0.982439566546263,0.705084745762712,1,0.579772158933037,-0.963823284245624,-0.924312308974715,0.719033064740206,-0.988913279439248,-0.660515793975232,-0.911141983884412,-0.499360933592665
"v.",-0.526713454425721,0.759044178938594,-0.471464295637677,0.309141428174493,0.767418274848648,0.454015004167824,0.899360933592665,0.579772158933037,1,-0.609502639622117,-0.630452903584329,0.621339260905807,-0.506932674068268,-0.473043581498081,-0.354542928591275,0.0782995276465685
"GA",0.868328640629483,-0.761489302584051,0.961933870519589,-0.360933592664629,-0.731907917657708,-0.943706585162545,-0.658571825507085,-0.963823284245624,-0.609502639622117,1,0.982383995554321,-0.815837732703529,0.955569757794767,0.779068485707744,0.919755487635454,0.572881355932203
"GGA",0.913922699345921,-0.793609335926647,0.920533481522645,-0.29647124201167,-0.765306547816949,-0.898971936649069,-0.636343428730203,-0.924312308974715,-0.630452903584329,0.982383995554321,1,-0.902528480133371,0.917057990295391,0.862716774998616,0.878744095582106,0.58438455126424
"CSI",-0.89759049920869,0.79244234509586,-0.716532370102806,0.111419838844123,0.772086303023983,0.68085579327591,0.525534870797444,0.719033064740206,0.621339260905807,-0.815837732703529,-0.902528480133371,1,-0.714301592428906,-0.960510240119739,-0.676743539872187,-0.539483189774938
"NGRDI",0.792814244037818,-0.618522326505133,0.978076634904792,-0.493900914358883,-0.586534587494261,-0.993136792180883,-0.643863402954938,-0.988913279439248,-0.506932674068268,0.955569757794767,0.917057990295391,-0.714301592428906,1,0.67441570281196,0.935619217344152,0.566395287667593
"NGRDIveg",0.911012302054173,-0.767507791905417,0.697032023918158,0.0277345490738506,-0.745911329179487,-0.650066705346206,-0.35482437131756,-0.660515793975232,-0.473043581498081,0.779068485707744,0.862716774998616,-0.960510240119739,0.67441570281196,1,0.693697208398256,0.695892628615524
"TGI",0.790070181638581,-0.655237565990553,0.976160044456794,-0.240955821061406,-0.621820253189395,-0.951486524034454,-0.424340094470686,-0.911141983884412,-0.354542928591275,0.919755487635454,0.878744095582106,-0.676743539872187,0.935619217344152,0.693697208398256,1,0.730647402056127
"TGIveg",0.685271897424678,-0.439510975270909,0.62745207001945,0.182717421505974,-0.407396601825949,-0.589941650458461,0.125812725757155,-0.499360933592665,0.0782995276465685,0.572881355932203,0.58438455126424,-0.539483189774938,0.566395287667593,0.695892628615524,0.730647402056127,1
