"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",1,-0.827498140286404,0.233414360294602,0.302826210877837,-0.812220555289673,-0.0217762668496422,-0.519227862696156,0.0517186337679002,-0.706367655935269,0.525149572963516,0.567749625411612,-0.572193169494837,0.459009251634267,0.447093978756717,-0.143587259539828,-0.22184571853073
"Intensity",-0.827498140286404,1,-0.316754654070575,-0.296637954987497,0.989705045526715,-0.0332870241733815,0.706362878577383,-0.111808835787719,0.908641289247013,-0.618328255232396,-0.634541166388113,0.633329836807717,-0.486641937278657,-0.458960822450681,0.255959988885802,0.359933314809669
"Hue",0.233414360294602,-0.316754654070575,1,0.632898027229786,-0.273587396211355,-0.769491525423729,-0.575215337593776,-0.758877465962768,-0.303862183939983,0.756665428263675,0.773797953300364,-0.768306353310469,0.885591630977809,0.850458460683523,0.475854404001112,0.389997221450403
"Saturation",0.302826210877837,-0.296637954987497,0.632898027229786,1,-0.217791794790229,-0.582995276465685,-0.188830230619617,-0.495582106140595,-0.118921922756321,0.6648761153429,0.665300697633791,-0.654469726278626,0.765612192518906,0.715198666296194,0.48991386496249,0.442956376771325
"Lightness",-0.812220555289673,0.989705045526715,-0.273587396211355,-0.217791794790229,1,-0.112035789307758,0.748489101335087,-0.179974158568042,0.944523945969568,-0.561806954874526,-0.573059970132851,0.574366213925585,-0.412887629369136,-0.390069050174182,0.34319296471729,0.444808758739728
"a.",-0.0217762668496422,-0.0332870241733815,-0.769491525423729,-0.582995276465685,-0.112035789307758,1,0,0.983717699360934,-0.205779383161989,-0.55508110180586,-0.556803441967218,0.549273609625766,-0.769974575992284,-0.754820783550987,-0.910419560989164,-0.868796888024451
"b.",-0.519227862696156,0.706362878577383,-0.575215337593776,-0.188830230619617,0.748489101335087,0,1,-0.00288969158099472,0.885523756599055,-0.523045722791431,-0.544080181315597,0.549832865960975,-0.46535795166969,-0.452236732425674,0.357877188107808,0.455459849958322
"u.",0.0517186337679002,-0.111808835787719,-0.758877465962768,-0.495582106140595,-0.179974158568042,0.983717699360934,-0.00288969158099472,1,-0.242622950819672,-0.48896553235055,-0.494277703907822,0.487699487119228,-0.705122327413525,-0.694915254237288,-0.897193664906919,-0.861072520144485
"v.",-0.706367655935269,0.908641289247013,-0.303862183939983,-0.118921922756321,0.944523945969568,-0.205779383161989,0.885523756599055,-0.242622950819672,1,-0.476100260459117,-0.493131212288665,0.500590345645801,-0.332652579256599,-0.319088635732148,0.49119199777716,0.588774659627674
"GA",0.525149572963516,-0.618328255232396,0.756665428263675,0.6648761153429,-0.561806954874526,-0.55508110180586,-0.523045722791431,-0.48896553235055,-0.476100260459117,1,0.96823720234544,-0.953504156441051,0.805766296963755,0.718751216398194,0.334298268066348,0.231574894045791
"GGA",0.567749625411612,-0.634541166388113,0.773797953300364,0.665300697633791,-0.573059970132851,-0.556803441967218,-0.544080181315597,-0.494277703907822,-0.493131212288665,0.96823720234544,1,-0.994019896255658,0.825317652541566,0.747708278161985,0.321409138307111,0.216826732071806
"CSI",-0.572193169494837,0.633329836807717,-0.768306353310469,-0.654469726278626,0.574366213925585,0.549273609625766,0.549832865960975,0.487699487119228,0.500590345645801,-0.953504156441051,-0.994019896255658,1,-0.816217998010859,-0.74775368299153,-0.31072281984226,-0.208127245148123
"NGRDI",0.459009251634267,-0.486641937278657,0.885591630977809,0.765612192518906,-0.412887629369136,-0.769974575992284,-0.46535795166969,-0.705122327413525,-0.332652579256599,0.805766296963755,0.825317652541566,-0.816217998010859,1,0.980869420342233,0.524041734445328,0.439128079065427
"NGRDIveg",0.447093978756717,-0.458960822450681,0.850458460683523,0.715198666296194,-0.390069050174182,-0.754820783550987,-0.452236732425674,-0.694915254237288,-0.319088635732148,0.718751216398194,0.747708278161985,-0.74775368299153,0.980869420342233,1,0.511475409836066,0.43828841344818
"TGI",-0.143587259539828,0.255959988885802,0.475854404001112,0.48991386496249,0.34319296471729,-0.910419560989164,0.357877188107808,-0.897193664906919,0.49119199777716,0.334298268066348,0.321409138307111,-0.31072281984226,0.524041734445328,0.511475409836066,1,0.98688524590164
"TGIveg",-0.22184571853073,0.359933314809669,0.389997221450403,0.442956376771325,0.444808758739728,-0.868796888024451,0.455459849958322,-0.861072520144485,0.588774659627674,0.231574894045791,0.216826732071806,-0.208127245148123,0.439128079065427,0.43828841344818,0.98688524590164,1
