"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",1,0.0326644002744633,-0.133379634454059,0.599527846704212,0.0758787881632762,0.0680508339051319,0.278327910671989,0.117727942655878,0.254510118805193,-0.0684015420127403,-0.0891465924157228,0.0891478309326746,-0.115005909299673,-0.0843830340423635,0.0918686257719281,0.215721143479268
"Intensity",0.0326644002744633,1,-0.808335648791331,0.0615726590719644,0.988163050202247,0.811392053348152,0.648013337038066,0.79949986107252,0.715198666296194,-0.809959853282447,-0.825062517365935,0.821156170628991,-0.83728813559322,-0.841178105029175,-0.756765768268964,-0.673353709363712
"Hue",-0.133379634454059,-0.808335648791331,1,-0.14837454848569,-0.782183445243463,-0.975659905529314,-0.860294526257294,-0.990386218393998,-0.824840233398166,0.951715332991284,0.985607113086969,-0.975673460408973,0.989497082522923,0.96976938038344,0.80477910530703,0.70552931369825
"Saturation",0.599527846704212,0.0615726590719644,-0.14837454848569,1,0.151574092142206,0.038010558488469,0.486357321478188,0.11536537927202,0.496582383995554,-0.18327335594585,-0.134648513475966,0.125175398392163,-0.104362322867463,-0.0419005279244235,0.24684634620728,0.411447624340095
"Lightness",0.0758787881632762,0.988163050202247,-0.782183445243463,0.151574092142206,1,0.764705882648147,0.676567840434568,0.765178249204777,0.758203895927473,-0.784137180114211,-0.79679902223096,0.795142892945296,-0.804884826229747,-0.805468337858526,-0.676623412970642,-0.587623996447913
"a.",0.0680508339051319,0.811392053348152,-0.975659905529314,0.038010558488469,0.764705882648147,1,0.752431230897472,0.990386218393998,0.715031953320367,-0.953299348349724,-0.975993331480967,0.963864460560656,-0.985829397054737,-0.976604612392331,-0.897693803834399,-0.811503195332037
"b.",0.278327910671989,0.648013337038066,-0.860294526257294,0.486357321478188,0.676567840434568,0.752431230897472,1,0.813392609058072,0.971658794109475,-0.797871315020666,-0.833287024173382,0.833465316353237,-0.817504862461795,-0.777938316198944,-0.424729091414282,-0.299583217560434
"u.",0.117727942655878,0.79949986107252,-0.990386218393998,0.11536537927202,0.765178249204777,0.990386218393998,0.813392609058072,1,0.776271186440678,-0.957884655966262,-0.98588496804668,0.973700662787254,-0.992609058071687,-0.973770491803279,-0.840344540150042,-0.744762434009447
"v.",0.254510118805193,0.715198666296194,-0.824840233398166,0.496582383995554,0.758203895927473,0.715031953320367,0.971658794109475,0.776271186440678,1,-0.775167094883023,-0.80755765490414,0.80698537081101,-0.794165045846069,-0.75843289802723,-0.393164767991109,-0.274187274242845
"GA",-0.0684015420127403,-0.809959853282447,0.951715332991284,-0.18327335594585,-0.784137180114211,-0.953299348349724,-0.797871315020666,-0.957884655966262,-0.775167094883023,1,0.967277589144381,-0.951061592106952,0.951076168899282,0.928733215422335,0.808153519978963,0.70852729085601
"GGA",-0.0891465924157228,-0.825062517365935,0.985607113086969,-0.134648513475966,-0.79679902223096,-0.975993331480967,-0.833287024173382,-0.98588496804668,-0.80755765490414,0.967277589144381,1,-0.993817641352388,0.986940816893582,0.978994165045846,0.818782995276466,0.724590163934426
"CSI",0.0891478309326746,0.821156170628991,-0.975673460408973,0.125175398392163,0.795142892945296,0.963864460560656,0.833465316353237,0.973700662787254,0.80698537081101,-0.951061592106952,-0.993817641352388,1,-0.976757109806819,-0.98186971209409,-0.803317634387533,-0.712957946136408
"NGRDI",-0.115005909299673,-0.83728813559322,0.989497082522923,-0.104362322867463,-0.804884826229747,-0.985829397054737,-0.817504862461795,-0.992609058071687,-0.794165045846069,0.951076168899282,0.986940816893582,-0.976757109806819,1,0.984217838288414,0.84106696304529,0.745707140872465
"NGRDIveg",-0.0843830340423635,-0.841178105029175,0.96976938038344,-0.0419005279244235,-0.805468337858526,-0.976604612392331,-0.777938316198944,-0.973770491803279,-0.75843289802723,0.928733215422335,0.978994165045846,-0.98186971209409,0.984217838288414,1,0.861072520144485,0.784773548207836
"TGI",0.0918686257719281,-0.756765768268964,0.80477910530703,0.24684634620728,-0.676623412970642,-0.897693803834399,-0.424729091414282,-0.840344540150042,-0.393164767991109,0.808153519978963,0.818782995276466,-0.803317634387533,0.84106696304529,0.861072520144485,1,0.947818838566269
"TGIveg",0.215721143479268,-0.673353709363712,0.70552931369825,0.411447624340095,-0.587623996447913,-0.811503195332037,-0.299583217560434,-0.744762434009447,-0.274187274242845,0.70852729085601,0.724590163934426,-0.712957946136408,0.745707140872465,0.784773548207836,0.947818838566269,1
