"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",1,-0.930480436588425,0.663623419069412,0.61984312160429,-0.888040242220365,-0.614743373057603,0.44561662447129,-0.356743813540729,-0.800630698738874,0.915966031778734,0.898448163823908,-0.894198140509493,0.818819836793486,0.812947635287304,0.374339437181343,0.14822076185399
"Intensity",-0.930480436588425,1,-0.609994155464641,-0.51583869082408,0.987361007718018,0.482057276446523,-0.431735827001753,0.208065458796026,0.923728813559322,-0.891853519814828,-0.849892777035784,0.847434784292356,-0.73870161757765,-0.73062536528346,-0.196259497369959,0.0514903565166569
"Hue",0.663623419069412,-0.609994155464641,1,0.600993571011105,-0.558570405822423,-0.831268264172998,-0.141729982466394,-0.748568088836938,-0.572238457042665,0.811938114745112,0.829005060306733,-0.825241110820316,0.922251932476187,0.922150789012274,0.623728813559322,0.425599064874343
"Saturation",0.61984312160429,-0.51583869082408,0.600993571011105,1,-0.427124884979624,-0.593278784336645,0.291700759789597,-0.38947983635301,-0.293980128579778,0.660810071211094,0.692224205597137,-0.679267134311351,0.763628925109644,0.758270017533606,0.509000584453536,0.454237288135593
"Lightness",-0.888040242220365,0.987361007718018,-0.558570405822423,-0.427124884979624,1,0.404652318165904,-0.395359371161011,0.142374961659875,0.959102266354082,-0.843700535768961,-0.788910999495332,0.787109983910596,-0.6671147608054,-0.658425751469342,-0.108183930226777,0.147167550681266
"a.",-0.614743373057603,0.482057276446523,-0.831268264172998,-0.593278784336645,0.404652318165904,1,-0.04593804792519,0.877206312098188,0.327878433664524,-0.7143470906044,-0.740766907729028,0.740600245148217,-0.844576922605098,-0.848509643483343,-0.85499707773232,-0.70864991233197
"b.",0.44561662447129,-0.431735827001753,-0.141729982466394,0.291700759789597,-0.395359371161011,-0.04593804792519,1,0.16937463471654,-0.197019286966686,0.272576651989572,0.259001828333162,-0.259229142456773,0.131240959116276,0.128170660432496,0.0229105786090006,0.0102863822326125
"u.",-0.356743813540729,0.208065458796026,-0.748568088836938,-0.38947983635301,0.142374961659875,0.877206312098188,0.16937463471654,1,0.10385739333723,-0.506260940114948,-0.560423591902884,0.561819504286263,-0.705358056154432,-0.712215078901227,-0.93062536528346,-0.823495032144945
"v.",-0.800630698738874,0.923728813559322,-0.572238457042665,-0.293980128579778,0.959102266354082,0.327878433664524,-0.197019286966686,0.10385739333723,1,-0.773165789040991,-0.715982884793856,0.715885229643686,-0.606525519140127,-0.598071303331385,0.00771478667445938,0.280303915838691
"GA",0.915966031778734,-0.891853519814828,0.811938114745112,0.660810071211094,-0.843700535768961,-0.7143470906044,0.272576651989572,-0.506260940114948,-0.773165789040991,1,0.958638145090182,-0.95205489617161,0.902129963923694,0.896324941277609,0.480422726158874,0.252680326957194
"GGA",0.898448163823908,-0.849892777035784,0.829005060306733,0.692224205597137,-0.788910999495332,-0.740766907729028,0.259001828333162,-0.560423591902884,-0.715982884793856,0.958638145090182,1,-0.997854747027224,0.938320413043039,0.935289262681205,0.543842318875334,0.327582676667958
"CSI",-0.894198140509493,0.847434784292356,-0.825241110820316,-0.679267134311351,0.787109983910596,0.740600245148217,-0.259229142456773,0.561819504286263,0.715885229643686,-0.95205489617161,-0.997854747027224,1,-0.934757239804132,-0.932603372715442,-0.542235126638544,-0.325253122191296
"NGRDI",0.818819836793486,-0.73870161757765,0.922251932476187,0.763628925109644,-0.6671147608054,-0.844576922605098,0.131240959116276,-0.705358056154432,-0.606525519140127,0.902129963923694,0.938320413043039,-0.934757239804132,1,0.998582679572984,0.678911147225412,0.48498663048179
"NGRDIveg",0.812947635287304,-0.73062536528346,0.922150789012274,0.758270017533606,-0.658425751469342,-0.848509643483343,0.128170660432496,-0.712215078901227,-0.598071303331385,0.896324941277609,0.935289262681205,-0.932603372715442,0.998582679572984,1,0.686908240794857,0.496084161309176
"TGI",0.374339437181343,-0.196259497369959,0.623728813559322,0.509000584453536,-0.108183930226777,-0.85499707773232,0.0229105786090006,-0.93062536528346,0.00771478667445938,0.480422726158874,0.543842318875334,-0.542235126638544,0.678911147225412,0.686908240794857,1,0.940911747516073
"TGIveg",0.14822076185399,0.0514903565166569,0.425599064874343,0.454237288135593,0.147167550681266,-0.70864991233197,0.0102863822326125,-0.823495032144945,0.280303915838691,0.252680326957194,0.327582676667958,-0.325253122191296,0.48498663048179,0.496084161309176,0.940911747516073,1
