"","Genotype","MeanDecreaseAccuracy","MeanDecreaseGini","date","alt","PC","mtry"
"1","Genotype",-0.00116495206977405,0.332949048584839,"2022-02-14","15m",0,4
"2","Intensity",0.0043016156899516,1.1723359379487,"2022-02-14","15m",0,4
"3","Hue",0.0121954883558135,1.49661653513307,"2022-02-14","15m",0,4
"4","Saturation",-0.00280181989836788,0.906821765242022,"2022-02-14","15m",0,4
"5","Lightness",-0.000183441725972686,1.08040646507967,"2022-02-14","15m",0,4
"6","a.",0.00631510487276741,1.2491885898003,"2022-02-14","15m",0,4
"7","b.",-0.00283006341955258,0.923217812915339,"2022-02-14","15m",0,4
"8","u.",0.00622951082972754,1.21788517961978,"2022-02-14","15m",0,4
"9","v.",-0.00521512498423489,0.948671365473151,"2022-02-14","15m",0,4
"10","GA",0.0353435361147282,3.20673465719213,"2022-02-14","15m",0,4
"11","GGA",0.085735157238702,5.37701481435683,"2022-02-14","15m",0,4
"12","CSI",0.0674694838804126,4.25443709422088,"2022-02-14","15m",0,4
"13","NGRDI",0.0111914766322429,1.47246054332237,"2022-02-14","15m",0,4
"14","NGRDIveg",0.0938260435058576,5.78292355118423,"2022-02-14","15m",0,4
"15","TGI",0.0121575583334794,1.54144385111207,"2022-02-14","15m",0,4
"16","TGIveg",0.00735183739119499,1.6715689792907,"2022-02-14","15m",0,4
"17","PC1",0.147227981353871,14.6530604679518,"2022-02-14","15m",3,1
"18","PC2",0.00993310632178281,9.5025282855721,"2022-02-14","15m",3,1
"19","PC3",-0.0361187075806891,8.46483981790517,"2022-02-14","15m",3,1
"20","Genotype",-0.00266547659942397,0.332218058459873,"2022-02-14","30m",0,4
"21","Intensity",0.0268178013249222,3.00969907611965,"2022-02-14","30m",0,4
"22","Hue",0.0156313378769494,1.89170044221955,"2022-02-14","30m",0,4
"23","Saturation",-0.000307856114473761,1.0991340617607,"2022-02-14","30m",0,4
"24","Lightness",0.0178730065514122,2.43723787376782,"2022-02-14","30m",0,4
"25","a.",0.00531225599306094,1.17851160188652,"2022-02-14","30m",0,4
"26","b.",-0.00222279598712261,0.929800722918056,"2022-02-14","30m",0,4
"27","u.",0.00181471088251274,1.05781305351566,"2022-02-14","30m",0,4
"28","v.",0.00056544353908905,1.17500543920505,"2022-02-14","30m",0,4
"29","GA",0.015017308578934,1.81987601618394,"2022-02-14","30m",0,4
"30","GGA",0.0149887756026224,1.79655733308669,"2022-02-14","30m",0,4
"31","CSI",0.0102474761134978,2.09300989820516,"2022-02-14","30m",0,4
"32","NGRDI",0.00535186584485346,1.12404927789045,"2022-02-14","30m",0,4
"33","NGRDIveg",0.082897371662565,5.89279418252275,"2022-02-14","30m",0,4
"34","TGI",0.0640770799788447,4.90117511239507,"2022-02-14","30m",0,4
"35","TGIveg",0.0048032426010522,1.81711308795821,"2022-02-14","30m",0,4
"36","PC1",0.0527002656502426,11.254239434111,"2022-02-14","30m",3,1
"37","PC2",0.0622044847169477,12.1326176037145,"2022-02-14","30m",3,1
"38","PC3",-0.0376863981554709,9.15283820027076,"2022-02-14","30m",3,1
"39","Genotype",-0.000982997479816365,0.0705848700645759,"2022-02-14","15-30m",0,5
"40","Intensity_15m",0.00584518209344834,0.613937743517482,"2022-02-14","15-30m",0,5
"41","Hue_15m",0.0239929477628159,1.57596418858167,"2022-02-14","15-30m",0,5
"42","Saturation_15m",0.000785973270795253,0.498764360778104,"2022-02-14","15-30m",0,5
"43","Lightness_15m",0.00398725342940513,0.586321465900377,"2022-02-14","15-30m",0,5
"44","a._15m",0.00853969655559439,0.876020440471259,"2022-02-14","15-30m",0,5
"45","b._15m",-0.000403294286552801,0.425591670334927,"2022-02-14","15-30m",0,5
"46","u._15m",0.0109037912171211,1.00529309568283,"2022-02-14","15-30m",0,5
"47","v._15m",-0.000686673840435451,0.30280382239543,"2022-02-14","15-30m",0,5
"48","GA_15m",0.0328995382524253,2.2205201278056,"2022-02-14","15-30m",0,5
"49","GGA_15m",0.056796115014157,3.05744104280283,"2022-02-14","15-30m",0,5
"50","CSI_15m",0.0602506570475934,3.06827604339002,"2022-02-14","15-30m",0,5
"51","NGRDI_15m",0.0156988096183143,1.36621989415682,"2022-02-14","15-30m",0,5
"52","NGRDIveg_15m",0.0743006931192303,3.62846361712178,"2022-02-14","15-30m",0,5
"53","TGI_15m",0.0191471940529371,1.34249741545543,"2022-02-14","15-30m",0,5
"54","TGIveg_15m",0.00098070957937831,0.550700794467075,"2022-02-14","15-30m",0,5
"55","Intensity_30m",0.0111887690783589,1.23678517072719,"2022-02-14","15-30m",0,5
"56","Hue_30m",0.00464503353715428,0.559330027874997,"2022-02-14","15-30m",0,5
"57","Saturation_30m",0.000204852618142092,0.263736484490374,"2022-02-14","15-30m",0,5
"58","Lightness_30m",0.00728767174689775,1.08883290142009,"2022-02-14","15-30m",0,5
"59","a._30m",0.00424675295035202,0.463573015960491,"2022-02-14","15-30m",0,5
"60","b._30m",-0.0011767481821584,0.176353753116723,"2022-02-14","15-30m",0,5
"61","u._30m",0.00232710211185443,0.341464992675758,"2022-02-14","15-30m",0,5
"62","v._30m",-0.00107057698407544,0.193518576043352,"2022-02-14","15-30m",0,5
"63","GA_30m",0.00583959779814269,0.634115771780827,"2022-02-14","15-30m",0,5
"64","GGA_30m",0.00663458150724404,0.658469916130485,"2022-02-14","15-30m",0,5
"65","CSI_30m",0.00876772173732702,0.8283061344813,"2022-02-14","15-30m",0,5
"66","NGRDI_30m",0.00261546878989603,0.368169417134314,"2022-02-14","15-30m",0,5
"67","NGRDIveg_30m",0.0429899125659344,2.68972446176701,"2022-02-14","15-30m",0,5
"68","TGI_30m",0.0288275420064972,1.55749364104247,"2022-02-14","15-30m",0,5
"69","TGIveg_30m",-4.36685098527204e-05,0.267001332904629,"2022-02-14","15-30m",0,5
"70","PC1",0.194729044063092,15.984752010128,"2022-02-14","15-30m",4,2
