"","OOB","X35","X70","X140","X280","X560","date","alt","PC","mtry"
"1",0.5625,0.714285714285714,0.888888888888889,0.578947368421053,0.444444444444444,0.2,"2022-02-03","15-30m",0,4
"2",0.572916666666667,0.80952380952381,0.888888888888889,0.578947368421053,0.5,0.1,"2022-02-03","15-30m",3,1
"3",0.625,0.666666666666667,0.9,0.8,0.416666666666667,0.285714285714286,"2022-02-03","30m",0,4
"4",0.75,0.777777777777778,0.8,0.9,0.75,0.428571428571429,"2022-02-03","30m",4,2
"5",0.416666666666667,0.75,0.7,0.4,0.3,0,"2022-02-03","15m",0,4
"6",0.604166666666667,1,0.9,0.7,0.5,0,"2022-02-03","15m",3,1
"7",0.5625,0.363636363636364,0.636363636363636,0.363636363636364,1,0.625,"2022-05-03","50m",0,4
"8",0.625,0.363636363636364,0.909090909090909,0.454545454545455,1,0.5,"2022-05-03","50m",3,1
"9",0.708333333333333,0.842105263157895,0.789473684210526,0.681818181818182,0.789473684210526,0.411764705882353,"2022-01-19","15-30m",0,4
"10",0.71875,0.842105263157895,0.947368421052632,0.590909090909091,0.736842105263158,0.470588235294118,"2022-01-19","15-30m",4,2
"11",0.583333333333333,0.777777777777778,0.857142857142857,0.5,0.545454545454545,0.333333333333333,"2022-01-19","30m",0,4
"12",0.645833333333333,0.666666666666667,1,0.5,0.818181818181818,0.333333333333333,"2022-01-19","30m",4,2
"13",0.5,0.6,0.444444444444444,0.777777777777778,0.6,0.1,"2022-01-19","15m",0,4
"14",0.645833333333333,0.7,1,0.777777777777778,0.6,0.2,"2022-01-19","15m",4,2
"15",0.28125,0.260869565217391,0.625,0.117647058823529,0.210526315789474,0.238095238095238,"2022-03-09","15-30m",0,4
"16",0.28125,0.173913043478261,0.6875,0.176470588235294,0.263157894736842,0.19047619047619,"2022-03-09","15-30m",3,1
"17",0.229166666666667,0.2,0.333333333333333,0.3,0.222222222222222,0.1,"2022-03-09","15m",0,4
"18",0.145833333333333,0,0.222222222222222,0.2,0.222222222222222,0.1,"2022-03-09","15m",2,1
"19",0.229166666666667,0.0909090909090909,0.5,0,0.4,0.3,"2022-03-09","30m",0,4
"20",0.270833333333333,0.0909090909090909,0.5,0.0909090909090909,0.5,0.3,"2022-03-09","30m",2,1
"21",0.8125,0.454545454545455,0.8,1,0.9,1,"2022-06-02","50m",0,4
"22",0.916666666666667,0.909090909090909,0.9,0.777777777777778,1,1,"2022-06-02","50m",2,1
"23",0.125,0.0909090909090909,0,0.0909090909090909,0.333333333333333,0.142857142857143,"2022-03-22","50m",0,4
"24",0.145833333333333,0.0909090909090909,0.1,0.0909090909090909,0.222222222222222,0.285714285714286,"2022-03-22","50m",2,1
"25",0.270833333333333,0,0.111111111111111,0,0.6,0.6,"2022-04-19","50m",0,4
"26",0.291666666666667,0.166666666666667,0.222222222222222,0.142857142857143,0.5,0.4,"2022-04-19","50m",3,1
"27",0.145833333333333,0,0,0.0833333333333333,0.444444444444444,0.222222222222222,"2022-04-05","50m",0,4
"28",0.291666666666667,0,0.1,0.0833333333333333,0.777777777777778,0.555555555555556,"2022-04-05","50m",3,1
"29",0.680555555555556,0.68,0.714285714285714,0.548387096774194,0.714285714285714,0.75,"2022-05-26","15-30-50m",0,4
"30",0.8125,0.76,0.892857142857143,0.774193548387097,0.785714285714286,0.84375,"2022-05-26","15-30-50m",3,1
"31",0.8125,0.5,0.636363636363636,1,1,1,"2022-05-26","50m",0,4
"32",0.895833333333333,0.8,0.818181818181818,1,0.9,1,"2022-05-26","50m",3,1
"33",0.770833333333333,0.8,0.727272727272727,0.666666666666667,0.8,0.875,"2022-05-26","15m",0,4
"34",0.854166666666667,0.7,1,0.777777777777778,0.8,1,"2022-05-26","15m",3,1
"35",0.854166666666667,0.8,1,0.888888888888889,0.8,0.8,"2022-05-26","30m",0,4
"36",0.875,0.7,1,0.888888888888889,0.8,1,"2022-05-26","30m",3,1
"37",0.520833333333333,0.55,0.789473684210526,0.45,0.5,0.294117647058824,"2022-02-14","15-30m",0,4
"38",0.520833333333333,0.4,0.789473684210526,0.6,0.5,0.294117647058824,"2022-02-14","15-30m",3,1
"39",0.291666666666667,0.4,0.4,0.375,0.2,0.1,"2022-02-14","15m",0,4
"40",0.583333333333333,0.5,0.7,0.875,0.6,0.3,"2022-02-14","15m",3,1
"41",0.416666666666667,0.545454545454545,0.636363636363636,0.3,0.444444444444444,0,"2022-02-14","30m",0,4
"42",0.708333333333333,0.727272727272727,1,0.6,0.777777777777778,0.285714285714286,"2022-02-14","30m",3,1
"43",0.552083333333333,0.736842105263158,0.789473684210526,0.631578947368421,0.380952380952381,0.222222222222222,"2022-02-03","15-30m",0,4
"44",0.583333333333333,0.894736842105263,0.789473684210526,0.578947368421053,0.476190476190476,0.166666666666667,"2022-02-03","15-30m",3,1
"45",0.625,0.7,0.9,0.666666666666667,0.6,0.222222222222222,"2022-02-03","30m",0,4
"46",0.645833333333333,0.8,0.7,0.777777777777778,0.7,0.222222222222222,"2022-02-03","30m",4,2
"47",0.479166666666667,0.636363636363636,0.9,0.625,0.2,0,"2022-02-03","15m",0,4
"48",0.479166666666667,0.545454545454545,0.9,0.375,0.4,0.111111111111111,"2022-02-03","15m",3,1
"49",0.625,0.363636363636364,0.666666666666667,0.7,0.625,0.8,"2022-05-03","50m",0,4
"50",0.583333333333333,0.363636363636364,0.888888888888889,0.6,0.5,0.6,"2022-05-03","50m",3,1
"51",0.520833333333333,0.666666666666667,0.545454545454545,0.625,0.55,0.176470588235294,"2022-01-19","15-30m",0,4
"52",0.5,0.571428571428571,0.636363636363636,0.5625,0.45,0.235294117647059,"2022-01-19","15-30m",3,1
"53",0.5,0.636363636363636,0.555555555555556,0.375,0.777777777777778,0.181818181818182,"2022-01-19","30m",0,4
"54",0.5625,0.454545454545455,0.555555555555556,0.5,0.888888888888889,0.454545454545455,"2022-01-19","30m",4,2
"55",0.541666666666667,0.875,0.545454545454545,0.5,0.666666666666667,0.2,"2022-01-19","15m",0,4
"56",0.541666666666667,0.875,0.818181818181818,0.5,0.333333333333333,0.2,"2022-01-19","15m",4,2
"57",0.25,0.210526315789474,0.529411764705882,0.166666666666667,0.25,0.136363636363636,"2022-03-09","15-30m",0,4
"58",0.375,0.315789473684211,0.705882352941177,0.277777777777778,0.45,0.181818181818182,"2022-03-09","15-30m",3,1
"59",0.333333333333333,0.363636363636364,0.444444444444444,0.222222222222222,0.4,0.222222222222222,"2022-03-09","15m",0,4
"60",0.395833333333333,0.272727272727273,0.444444444444444,0.333333333333333,0.6,0.333333333333333,"2022-03-09","15m",2,1
"61",0.166666666666667,0.0909090909090909,0.428571428571429,0,0.222222222222222,0.181818181818182,"2022-03-09","30m",0,4
"62",0.270833333333333,0.181818181818182,0.571428571428571,0,0.444444444444444,0.272727272727273,"2022-03-09","30m",2,1
"63",0.770833333333333,0.454545454545455,0.777777777777778,0.875,0.8,1,"2022-06-02","50m",0,4
"64",0.708333333333333,0.363636363636364,0.666666666666667,0.75,1,0.8,"2022-06-02","50m",2,1
"65",0.125,0.111111111111111,0.1,0.125,0.2,0.0909090909090909,"2022-03-22","50m",0,4
"66",0.208333333333333,0.111111111111111,0.2,0.25,0.3,0.181818181818182,"2022-03-22","50m",2,1
"67",0.3125,0,0.125,0.1,0.6,0.583333333333333,"2022-04-19","50m",0,4
"68",0.5,0.125,0.5,0.4,0.9,0.5,"2022-04-19","50m",3,1
"69",0.229166666666667,0,0,0.125,0.875,0.3,"2022-04-05","50m",0,4
"70",0.25,0,0.0833333333333333,0.125,0.625,0.5,"2022-04-05","50m",4,2
"71",0.666666666666667,0.586206896551724,0.777777777777778,0.5625,0.862068965517241,0.555555555555556,"2022-05-26","15-30-50m",0,4
"72",0.784722222222222,0.655172413793103,0.888888888888889,0.71875,0.931034482758621,0.740740740740741,"2022-05-26","15-30-50m",3,1
"73",0.6875,0.363636363636364,0.6,0.777777777777778,1,0.818181818181818,"2022-05-26","50m",0,4
"74",0.791666666666667,0.454545454545455,0.8,0.888888888888889,1,0.909090909090909,"2022-05-26","50m",3,1
"75",0.833333333333333,0.888888888888889,0.909090909090909,0.636363636363636,1,0.777777777777778,"2022-05-26","15m",0,4
"76",0.9375,1,0.909090909090909,0.818181818181818,1,1,"2022-05-26","15m",3,1
"77",0.895833333333333,0.888888888888889,1,1,0.75,0.875,"2022-05-26","30m",0,4
"78",0.833333333333333,0.666666666666667,0.9,1,0.666666666666667,1,"2022-05-26","30m",3,1
"79",0.520833333333333,0.555555555555556,0.684210526315789,0.5,0.631578947368421,0.25,"2022-02-14","15-30m",0,4
"80",0.614583333333333,0.555555555555556,0.789473684210526,0.65,0.631578947368421,0.45,"2022-02-14","15-30m",3,1
"81",0.270833333333333,0.714285714285714,0.4,0.0909090909090909,0.25,0.0833333333333333,"2022-02-14","15m",0,4
"82",0.541666666666667,0.714285714285714,0.8,0.636363636363636,0.5,0.166666666666667,"2022-02-14","15m",3,1
"83",0.416666666666667,0.571428571428571,0.545454545454545,0.875,0.272727272727273,0,"2022-02-14","30m",0,4
"84",0.583333333333333,0.857142857142857,0.727272727272727,0.875,0.545454545454545,0.0909090909090909,"2022-02-14","30m",3,1
"85",0.520833333333333,0.55,0.625,0.666666666666667,0.521739130434783,0.263157894736842,"2022-02-03","15-30m",0,4
"86",0.520833333333333,0.5,0.6875,0.888888888888889,0.391304347826087,0.210526315789474,"2022-02-03","15-30m",3,1
"87",0.625,0.75,1,0.777777777777778,0.5,0.2,"2022-02-03","30m",0,4
"88",0.645833333333333,0.625,0.888888888888889,0.777777777777778,0.666666666666667,0.3,"2022-02-03","30m",4,2
"89",0.416666666666667,0.625,0.666666666666667,0.363636363636364,0.5,0.0833333333333333,"2022-02-03","15m",0,4
"90",0.541666666666667,1,0.777777777777778,0.545454545454545,0.5,0.0833333333333333,"2022-02-03","15m",3,1
"91",0.5625,0.363636363636364,0.6,0.636363636363636,0.714285714285714,0.555555555555556,"2022-05-03","50m",0,4
"92",0.625,0.454545454545455,0.8,0.454545454545455,0.714285714285714,0.777777777777778,"2022-05-03","50m",3,1
"93",0.625,0.789473684210526,0.631578947368421,0.736842105263158,0.722222222222222,0.285714285714286,"2022-01-19","15-30m",0,4
"94",0.5625,0.684210526315789,0.526315789473684,0.631578947368421,0.5,0.476190476190476,"2022-01-19","15-30m",4,2
"95",0.625,0.888888888888889,0.818181818181818,0.666666666666667,0.545454545454545,0.125,"2022-01-19","30m",0,4
"96",0.708333333333333,1,1,0.444444444444444,0.818181818181818,0.125,"2022-01-19","30m",4,2
"97",0.645833333333333,0.833333333333333,0.833333333333333,0.636363636363636,1,0.0909090909090909,"2022-01-19","15m",0,4
"98",0.604166666666667,0.583333333333333,1,0.545454545454545,0.875,0.272727272727273,"2022-01-19","15m",4,2
"99",0.270833333333333,0.444444444444444,0.4,0.210526315789474,0.210526315789474,0.1,"2022-03-09","15-30m",0,4
"100",0.333333333333333,0.5,0.45,0.263157894736842,0.315789473684211,0.15,"2022-03-09","15-30m",3,1
"101",0.229166666666667,0.222222222222222,0.272727272727273,0,0.4,0.222222222222222,"2022-03-09","15m",0,4
"102",0.333333333333333,0.333333333333333,0.363636363636364,0.333333333333333,0.3,0.333333333333333,"2022-03-09","15m",3,1
"103",0.166666666666667,0.1,0.25,0,0.222222222222222,0.272727272727273,"2022-03-09","30m",0,4
"104",0.291666666666667,0.2,0.375,0.2,0.444444444444444,0.272727272727273,"2022-03-09","30m",2,1
"105",0.833333333333333,0.545454545454545,1,0.888888888888889,1,0.777777777777778,"2022-06-02","50m",0,4
"106",0.791666666666667,0.727272727272727,1,0.666666666666667,0.888888888888889,0.666666666666667,"2022-06-02","50m",2,1
"107",0.125,0.111111111111111,0.1,0.111111111111111,0.181818181818182,0.111111111111111,"2022-03-22","50m",0,4
"108",0.104166666666667,0,0.1,0.222222222222222,0.0909090909090909,0.111111111111111,"2022-03-22","50m",3,1
"109",0.270833333333333,0,0.111111111111111,0.222222222222222,0.4,0.6,"2022-04-19","50m",0,4
