"","X","dens","altitude","date","pval"
"83","Hue",0.452538045469127,"30m","2022-01-19",0.00028313342266606
"84","Saturation",0.179654201509548,"30m","2022-01-19",0.169588758820794
"85","Lightness",-0.633902324532721,"30m","2022-01-19",5.42006945991602e-08
"86","a.",-0.351142302950481,"30m","2022-01-19",0.00594296153380758
"87","b.",-0.0707728672613372,"30m","2022-01-19",0.591028078641195
"88","u.",-0.358627894680045,"30m","2022-01-19",0.004896903515474
"89","v.",-0.178293184831446,"30m","2022-01-19",0.172898243783623
"90","GA",0.628109196944367,"30m","2022-01-19",7.774887889056e-08
"91","GGA",0.57537779430211,"30m","2022-01-19",1.51720014107681e-06
"92","CSI",0.0755364256346964,"30m","2022-01-19",0.5662284185573
"93","NGRDI",0.290597247447679,"30m","2022-01-19",0.0242935146650232
"94","NGRDIveg",0.258066872671574,"30m","2022-01-19",0.0465041389726775
"95","TGI",0.506978712593233,"30m","2022-01-19",3.56993593046973e-05
"96","TGIveg",0.340254169525659,"30m","2022-01-19",0.00781329963963939
"97","dens",1,"30m","2022-02-02",NA
"98","Intensity",-0.828178648625455,"30m","2022-02-02",4.44089209850063e-16
"99","Hue",0.595444796669904,"30m","2022-02-02",5.21328724190084e-07
"100","Saturation",0.183737251543856,"30m","2022-02-02",0.159938139438024
"101","Lightness",-0.835335591372963,"30m","2022-02-02",0
"102","a.",-0.464106687232999,"30m","2022-02-02",0.00018763449027337
"103","b.",-0.310992310946453,"30m","2022-02-02",0.0155817760024781
"104","u.",-0.504256679237027,"30m","2022-02-02",3.99321440456291e-05
"105","v.",-0.540323621206747,"30m","2022-02-02",8.3456099235768e-06
"106","GA",0.787348148282376,"30m","2022-02-02",8.59312621059871e-14
"107","GGA",0.68747057624391,"30m","2022-02-02",1.30329569358878e-09
"108","CSI",-0.355537873185584,"30m","2022-02-02",0.00530723819313383
"109","NGRDI",0.394036225903101,"30m","2022-02-02",0.00183904434908166
"110","NGRDIveg",0.507197196899153,"30m","2022-02-02",3.53782680866388e-05
"111","TGI",0.578432088193621,"30m","2022-02-02",1.29544304705576e-06
"112","TGIveg",0.184417759882907,"30m","2022-02-02",0.158369839522696
"113","dens",1,"30m","2022-02-03",NA
"114","Intensity",-0.828178648625455,"30m","2022-02-03",4.44089209850063e-16
"115","Hue",0.595444796669904,"30m","2022-02-03",5.21328724190084e-07
