"","variable","altitude","date","norm_pvalue","homo_pvalue"
"129","GA","50m","2022-03-22","1.02279377621921e-07","6.82511354180193e-06"
"130","GGA","50m","2022-03-22","9.54869854185617e-08","0.000149215290921134"
"131","CSI","50m","2022-03-22","6.53310951067322e-07","0.0661481293707328"
"132","NGRDI","50m","2022-03-22","3.06601927060843e-05","0.0243547495120074"
"133","NGRDIveg","50m","2022-03-22","9.70931616299156e-07","0.00440230369937876"
"134","TGI","50m","2022-03-22","0.0296820081114906","0.728121243100608"
"135","TGIveg","50m","2022-03-22","0.0375598525734565","0.903159034706059"
"136","Intensity","50m","2022-05-25","0.0690823181092051","0.10344000407125"
"137","Hue","50m","2022-05-25","0.0305859701712611","0.330440565958724"
"138","Saturation","50m","2022-05-25","0.252232925661919","0.902670564746142"
"139","Lightness","50m","2022-05-25","0.125559930966711","0.0625914010743414"
"140","a.","50m","2022-05-25","0.0232024703630172","0.634147025620998"
"141","b.","50m","2022-05-25","0.00188265435743265","0.804800961955607"
"142","u.","50m","2022-05-25","0.000905162811531267","0.531405209249326"
"143","v.","50m","2022-05-25","0.00584001012466928","0.390731449078649"
"144","GA","50m","2022-05-25","9.63660987308335e-14","0.00400048906208318"
"145","GGA","50m","2022-05-25","7.20291228520424e-12","0.0820885576855611"
"146","CSI","50m","2022-05-25","3.20462054581187e-12","0.100456069237057"
"147","NGRDI","50m","2022-05-25","0.433902188716789","0.438481206064025"
"148","NGRDIveg","50m","2022-05-25","0.396276374427262","0.436597826891493"
"149","TGI","50m","2022-05-25","0.45949266106399","0.333189985265537"
"150","TGIveg","50m","2022-05-25","0.300055734490222","0.37962949848856"
"151","Intensity","50m","2022-05-03","0.000722627823422989","0.839259444785409"
"152","Hue","50m","2022-05-03","0.00103341269908634","0.0362609658049639"
"153","Saturation","50m","2022-05-03","0.000298053991372283","0.456937030181779"
"154","Lightness","50m","2022-05-03","0.00321013522004937","0.845932936077691"
"155","a.","50m","2022-05-03","0.930210897759805","0.191057194138736"
"156","b.","50m","2022-05-03","0.161606050219333","0.140413003991156"
"157","u.","50m","2022-05-03","0.606318859008439","0.167132518646568"
"158","v.","50m","2022-05-03","0.11203163860653","0.70797943773929"
"159","GA","50m","2022-05-03","9.65209508033374e-11","0.142165428948976"
"160","GGA","50m","2022-05-03","1.54175804826816e-09","0.480136402356361"
"161","CSI","50m","2022-05-03","9.93070892149765e-10","0.392015164509698"
"162","NGRDI","50m","2022-05-03","0.0258194142541715","0.269883906864494"
"163","NGRDIveg","50m","2022-05-03","0.0570140845057994","0.176881977370178"
"164","TGI","50m","2022-05-03","0.371225136940684","0.721745963064037"
"165","TGIveg","50m","2022-05-03","0.202383349385723","0.833497302764894"
"166","Intensity","30m","2022-02-02","0.249987282221726","0.818524046986927"
"167","Hue","30m","2022-02-02","0.00194812518137042","0.484049351768559"
"168","Saturation","30m","2022-02-02","0.0851666727024154","0.416423180999469"
"169","Lightness","30m","2022-02-02","0.296138047335669","0.767951568816518"
"170","a.","30m","2022-02-02","0.463475461056069","0.753635830650775"
"171","b.","30m","2022-02-02","0.393041346684438","0.0146305756426062"
"172","u.","30m","2022-02-02","0.393897550177534","0.769999307359274"
"173","v.","30m","2022-02-02","0.34643327470136","0.011441974889123"
"174","GA","30m","2022-02-02","6.06143162573882e-12","0.00333325138427863"
"175","GGA","30m","2022-02-02","8.70817455433786e-14","0.139512927953294"
"176","CSI","30m","2022-02-02","5.67444116568835e-08","0.942317630945098"
"177","NGRDI","30m","2022-02-02","0.342226239823843","0.769579729132802"
"178","NGRDIveg","30m","2022-02-02","0.0082576370459971","0.610561210018692"
"179","TGI","30m","2022-02-02","0.0478834079383454","0.354419354517028"
"180","TGIveg","30m","2022-02-02","0.606993932792976","0.291413981767378"
"181","Intensity","30m","2022-05-26","0.657596821513803","0.468018394751622"
"182","Hue","30m","2022-05-26","0.0132221328983377","0.104487122828558"
"183","Saturation","30m","2022-05-26","0.0184252423143458","0.189045566978141"
"184","Lightness","30m","2022-05-26","0.764771545841357","0.450421200644583"
"185","a.","30m","2022-05-26","0.0847052147048402","0.382347662981534"
"186","b.","30m","2022-05-26","0.00068017261804661","0.0640285529063466"
