"","cp","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"1022",0.001,0.522174964,0.399189415,0.12784091,0.160425358,0.333333333,0.606925322,0.150442478,4,"19/01/2022","15m",5,20,"cv520","8020split"
"1023",0.001,0.68611502,0.604824053,0.095340372,0.120113927,0.625,0.003229781,0.52,0,"09/03/2022","15-30m",5,20,"cv520","8020split"
"1024",0.001,0.656860074,0.567845607,0.088514759,0.110701075,0.708333333,0.000192837,0.628318584,3,"09/03/2022","15-30m",5,20,"cv520","8020split"
"1025",0.001,0.512782828,0.384673627,0.092537499,0.114285019,0.5,0.177722456,0.368421053,0,"09/03/2022","15m",5,20,"cv520","8020split"
"1026",0.001,0.552833333,0.439431789,0.070556786,0.089046204,0.5,0.177722456,0.368421053,3,"09/03/2022","15m",5,20,"cv520","8020split"
"1027",0.001,0.565952381,0.446658843,0.092906945,0.1105206,0.5,0.177722456,0.357142857,0,"09/03/2022","30m",5,20,"cv520","8020split"
"1028",0.001,0.614010462,0.509879945,0.070661424,0.081272487,0.5,0.177722456,0.409836066,2,"09/03/2022","30m",5,20,"cv520","8020split"
"1029",0.001,0.228010101,0.046700894,0.093927734,0.117352614,0.333333333,0.351221383,0.111111111,0,"02/06/2022","50m",5,20,"cv520","8020split"
"1030",0.001,0.199722222,0.007875222,0.10258493,0.129444115,0.25,0.609324992,0.068965517,2,"02/06/2022","50m",5,20,"cv520","8020split"
"1031",0.001,0.650323232,0.549203277,0.069742139,0.081302879,0.25,0.818877354,0.175572519,0,"22/03/2022","50m",5,20,"cv520","8020split"
"1032",0.001,0.670040404,0.574124645,0.052784881,0.058800233,0.25,0.818877354,0.175572519,3,"22/03/2022","50m",5,20,"cv520","8020split"
"1033",0.001,0.562583333,0.451380934,0.158574165,0.197886721,0.75,0.000391662,0.684210526,0,"19/04/2022","50m",5,20,"cv520","8020split"
"1034",0.001,0.378866162,0.222106147,0.113679779,0.138511393,0.5,0.054402232,0.333333333,3,"19/04/2022","50m",5,20,"cv520","8020split"
