"","contrast","estimate","SE","df","t.ratio","p.value"
"124","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15-30m_var_cv1010_8020split)",0.022114898500002,0.0500355485768197,507,0.441983732146934,1
"125","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15-30m_var_cv510_8020split)",0.0438475965000023,0.061280781506725,507,0.715519538457427,1
"126","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15-30m_var_cv520_8020split)",0.0398735925000011,0.0612807815067246,507,0.650670430755287,1
"127","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15-30m_var_trainonly_nosplit)",0.0458183924000014,0.0387573692712747,507,1.18218530466566,1
"128","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15m_PC_cv1010_8020split)",0.0260833328333368,0.0456759977211156,507,0.571051189567749,1
"129","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15m_PC_cv510_8020split)",0.0452411612500013,0.043332056159816,507,1.04405756983108,1
"130","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15m_PC_cv520_8020split)",0.0544747475000021,0.0612807815067249,507,0.888936892784635,1
"131","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15m_PC_trainonly_nosplit)",-0.0248861116999987,0.0387573692712747,507,-0.642100126193115,1
"132","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15m_var_cv1010_8020split)",-0.0133658733999985,0.0387573692712747,507,-0.344860181465018,1
"133","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15m_var_cv510_8020split)",-0.0526893943888878,0.0391145875993541,507,-1.34705227953772,1
"134","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15m_var_cv520_8020split)",-0.00214762738888731,0.0391145875993541,507,-0.0549060470964234,1
"135","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_15m_var_trainonly_nosplit)",-0.0896857144999983,0.0387573692712747,507,-2.31402998155681,1
"136","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_30m_var_cv1010_8020split)",-0.0108571429999981,0.0408538543378162,507,-0.265755659434763,1
"137","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_30m_var_cv510_8020split)",0.0244486528333345,0.0456759977211159,507,0.535262589831332,1
"138","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_30m_var_cv520_8020split)",0.0342436865000013,0.043332056159816,507,0.790262210814663,1
"139","(03/02/2022_15m_PC_cv510_8020split) - (14/02/2022_30m_var_trainonly_nosplit)",-0.0193535716999987,0.0387573692712747,507,-0.499352047465789,1
"140","(03/02/2022_15m_PC_cv510_8020split) - (19/01/2022_15m_PC_cv1010_8020split)",-0.00031349249999877,0.0500355485768197,507,-0.00626539548212336,1
"141","(03/02/2022_15m_PC_cv510_8020split) - (19/01/2022_15m_PC_cv520_8020split)",0.0374639245000014,0.0612807815067246,507,0.611348673741869,1
"142","(03/02/2022_15m_PC_cv510_8020split) - (19/01/2022_30m_var_cv1010_8020split)",0.0513055555000006,0.0612807815067245,507,0.837220972685713,1
"143","(03/02/2022_15m_PC_cv510_8020split) - (19/01/2022_30m_var_cv520_8020split)",0.0436630585000018,0.0612807815067246,507,0.712508186521911,1
"144","(03/02/2022_15m_PC_cv510_8020split) - (19/04/2022_50m_PC_cv1010_8020split)",-0.0308611114999988,0.0612807815067244,507,-0.50360179392641,1
"145","(03/02/2022_15m_PC_cv510_8020split) - (19/04/2022_50m_PC_cv510_8020split)",0.0549419188333347,0.045675997721116,507,1.20286193131004,1
"146","(03/02/2022_15m_PC_cv510_8020split) - (19/04/2022_50m_PC_cv520_8020split)",0.0372904035000017,0.0500355485768197,507,0.745278198414266,1
"147","(03/02/2022_15m_PC_cv510_8020split) - (19/04/2022_50m_PC_trainonly_nosplit)",0.0590198405000014,0.0612807815067247,507,0.96310521910568,1
"148","(03/02/2022_15m_PC_cv510_8020split) - (19/04/2022_50m_var_cv1010_8020split)",-0.0507920636999983,0.0387573692712748,507,-1.31051370758652,1
"149","(03/02/2022_15m_PC_cv510_8020split) - (19/04/2022_50m_var_cv510_8020split)",-0.0633893942999988,0.0387573692712747,507,-1.63554429755841,1
"150","(03/02/2022_15m_PC_cv510_8020split) - (19/04/2022_50m_var_cv520_8020split)",-0.0411145024999985,0.0387573692712747,507,-1.06081767862585,1
"151","(03/02/2022_15m_PC_cv510_8020split) - (19/04/2022_50m_var_trainonly_nosplit)",-0.118848809699999,0.0387573692712747,507,-3.0664828891801,1
"152","(03/02/2022_15m_PC_cv510_8020split) - (22/03/2022_50m_PC_cv1010_8020split)",-0.102299206799997,0.0387573692712747,507,-2.63947756835543,1
"153","(03/02/2022_15m_PC_cv510_8020split) - (22/03/2022_50m_PC_cv510_8020split)",-0.0889367968999986,0.0387573692712747,507,-2.29470675054085,1
"154","(03/02/2022_15m_PC_cv510_8020split) - (22/03/2022_50m_PC_cv520_8020split)",-0.0980780306999987,0.0387573692712747,507,-2.53056470405719,1
"155","(03/02/2022_15m_PC_cv510_8020split) - (22/03/2022_50m_PC_trainonly_nosplit)",-0.285286508399999,0.0387573692712747,507,-7.36083263038807,2.40709599200295e-09
"156","(03/02/2022_15m_PC_cv510_8020split) - (22/03/2022_50m_var_cv1010_8020split)",-0.102987301899999,0.0387573692712748,507,-2.65723148491218,1
"157","(03/02/2022_15m_PC_cv510_8020split) - (22/03/2022_50m_var_cv510_8020split)",-0.0816772729999984,0.0387573692712747,507,-2.1073998193302,1
"158","(03/02/2022_15m_PC_cv510_8020split) - (22/03/2022_50m_var_cv520_8020split)",-0.118802400699999,0.0387573692712747,507,-3.06528546528698,1
"159","(03/02/2022_15m_PC_cv510_8020split) - (22/03/2022_50m_var_trainonly_nosplit)",-0.306759920999999,0.0387573692712747,507,-7.91487984782692,5.08441968583446e-11
"160","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_15m_PC_trainonly_nosplit)",-0.000567821199999589,0.0274055986326697,507,-0.0207191679193134,1
"161","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_15m_var_cv1010_8020split)",0.00955678203333314,0.030298029273214,507,0.315425863086816,1
"162","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_15m_var_cv510_8020split)",-0.0148423521999997,0.0316452594957494,507,-0.469022925913859,1
"163","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_15m_var_cv520_8020split)",0.0289839104500007,0.0335648663727785,507,0.86351931594481,1
"164","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_15m_var_trainonly_nosplit)",-0.0505412341000006,0.0274055986326697,507,-1.84419376410743,1
"165","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_30m_PC_cv1010_8020split)",0.0367313851999976,0.0548111972653385,507,0.670143821565923,1
"166","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_30m_var_cv1010_8020split)",0.0150647181999973,0.0548111972653393,507,0.274847457300914,1
"167","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_30m_var_cv510_8020split)",0.0285318902000035,0.0418627433999292,507,0.681558060527198,1
"168","(03/02/2022_15m_PC_cv520_8020split) - (03/02/2022_30m_var_cv520_8020split)",-0.0159125537999997,0.0548111972653398,507,-0.290315749224878,1
"169","(03/02/2022_15m_PC_cv520_8020split) - (05/04/2022_50m_PC_cv1010_8020split)",-0.154197186200002,0.0274055986326699,507,-5.62648487510818,9.86813439232542e-05
"170","(03/02/2022_15m_PC_cv520_8020split) - (05/04/2022_50m_PC_cv510_8020split)",-0.155598100022222,0.0279084955999528,507,-5.57529514498394,0.000130320837478158
"171","(03/02/2022_15m_PC_cv520_8020split) - (05/04/2022_50m_PC_cv520_8020split)",-0.156055411199999,0.0274055986326697,507,-5.69428945127905,6.80533782162538e-05
"172","(03/02/2022_15m_PC_cv520_8020split) - (05/04/2022_50m_PC_trainonly_nosplit)",-0.185450757599998,0.0274055986326697,507,-6.76689314784482,1.18037403615128e-07
"173","(03/02/2022_15m_PC_cv520_8020split) - (05/04/2022_50m_var_cv1010_8020split)",-0.137230519500003,0.0274055986326698,507,-5.00738996215219,0.0024714283127321
"174","(03/02/2022_15m_PC_cv520_8020split) - (05/04/2022_50m_var_cv510_8020split)",-0.116442496466667,0.0279084955999528,507,-4.17229571008707,0.114955904137134
"175","(03/02/2022_15m_PC_cv520_8020split) - (05/04/2022_50m_var_cv520_8020split)",-0.131733730199999,0.0274055986326697,507,-4.80681819673741,0.00655720752828461
"176","(03/02/2022_15m_PC_cv520_8020split) - (05/04/2022_50m_var_trainonly_nosplit)",-0.245240440099999,0.0274055986326697,507,-8.94855257084779,2.20045190001276e-14
"177","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15-30m_PC_cv1010_8020split)",-0.121647799499996,0.0274055986326696,507,-4.43879373446645,0.0359907691854376
"178","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15-30m_PC_cv510_8020split)",-0.1561710522,0.0274055986326698,507,-5.69850906353971,6.64895762950008e-05
"179","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15-30m_PC_cv520_8020split)",-0.117660985199998,0.0274055986326697,507,-4.29331928767782,0.0683533611787456
"180","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15-30m_PC_trainonly_nosplit)",-0.113214335599999,0.0274055986326697,507,-4.13106595909343,0.13683654490875
"181","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15-30m_var_cv1010_8020split)",-0.106327561499999,0.0274055986326697,507,-3.87977518481382,0.383424391949259
"182","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15-30m_var_cv510_8020split)",-0.131575439,0.0274055986326698,507,-4.80104232582429,0.00674072233170125
"183","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15-30m_var_cv520_8020split)",-0.116108766699999,0.0274055986326697,507,-4.23668055043278,0.0873167668772891
"184","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15-30m_var_trainonly_nosplit)",-0.1205916583,0.0274055986326697,507,-4.40025630953539,0.0427314821976733
"185","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15m_PC_cv1010_8020split)",-0.0268030063555541,0.0279084955999529,507,-0.960388791275419,1
"186","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15m_PC_cv510_8020split)",-0.0296705628999991,0.0274055986326697,507,-1.08264604242687,1
"187","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15m_PC_cv520_8020split)",-0.0120738897999989,0.0279084955999527,507,-0.432624171975051,1
"188","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15m_PC_trainonly_nosplit)",-0.213049964199999,0.0274055986326697,507,-7.77395768855879,1.38385658541138e-10
"189","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15m_var_cv1010_8020split)",-0.0210138528999986,0.0274055986326695,507,-0.766772263640631,1
"190","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15m_var_cv510_8020split)",-0.0186237533555551,0.0279084955999527,507,-0.667314842853324,1
