"","Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Date","Altitude"
"1","Intensity",6.50491799186623,0.0155149595322963,15.8555796074744,7.03582908584582,0.121801098441277,"2022-02-14","15m"
"2","Hue",8.5227748965364,0.281131281895769,3.54501236339115,2.54113673844878,7.77842039980353,"2022-02-14","15m"
"3","Saturation",0.561074225104241,23.8197029401427,24.424894872207,5.5224788177387,3.04566964367193,"2022-02-14","15m"
"4","Lightness",6.10094374797605,0.00896799081761454,18.4248299419765,6.32001942162628,0.204145499384551,"2022-02-14","15m"
"5","a.",8.15611389101159,0.00808036898160804,6.33762368677583,3.51053129600175,0.22099315786686,"2022-02-14","15m"
"6","b.",4.16682593588877,26.3227727720844,0.465085342591329,0.118566237349571,6.68498372295863,"2022-02-14","15m"
"7","u.",8.50795718326405,0.41441061659739,3.67782908883972,3.5771571589856,1.15590729056717,"2022-02-14","15m"
"8","v.",4.17061492815271,16.3436508726754,11.9964516710278,0.253843509148433,4.45116480672869,"2022-02-14","15m"
"9","GA",9.01143650840755,0.100680685321594,0.966089663437073,0.367078499098226,4.71562040216989,"2022-02-14","15m"
"10","GGA",8.73666573285045,0.327591380341882,0.000375972344174328,6.25207965706016,21.4242817868009,"2022-02-14","15m"
"11","CSI",7.99962769221024,0.136458204255004,2.82064471767743,26.5797587970986,0.608716487473711,"2022-02-14","15m"
"12","NGRDI",8.59482681402042,0.0155660944281095,4.22089665610145,0.573777178675699,0.0144681009405963,"2022-02-14","15m"
"13","NGRDIveg",7.61323367551612,2.30503735250947,2.44948143608854,29.3458363366667,0.364518420321037,"2022-02-14","15m"
"14","TGI",7.86721208723299,3.53754877303128,3.34180448112255,7.17686282771939,0.187573740688612,"2022-02-14","15m"
"15","TGIveg",3.48577468996224,26.3628857073855,1.47340049894508,0.825044438536309,49.0217354421825,"2022-02-14","15m"
"16","Intensity",5.65929732872723,8.88490444346574,0.696691879206955,22.538022721491,2.64315654412531,"2022-02-14","30m"
"17","Hue",8.79264827362428,0.189524956178754,0.0766752720418442,5.05607373346409,13.0915448907176,"2022-02-14","30m"
"18","Saturation",3.94598590786819,20.1252069128537,0.00173435533612542,2.13304546432448,1.27772348054682,"2022-02-14","30m"
"19","Lightness",5.74372724177227,8.00473232445476,0.332330702595973,25.3989545314176,2.67943008755246,"2022-02-14","30m"
"20","a.",8.41634603938868,0.419082099533068,11.0935611953604,2.68888957110622,1.07020169674502,"2022-02-14","30m"
"21","b.",6.85101328460627,9.02359636107863,0.00573000097409066,2.68355245094072,0.715232467572621,"2022-02-14","30m"
"22","u.",8.54934063461106,1.05587180303289,8.56970406040637,0.299255579762647,1.38132104299004,"2022-02-14","30m"
"23","v.",7.72524915135664,3.49871785449693,0.0985885814919568,12.4931063480666,0.0596489972017919,"2022-02-14","30m"
"24","GA",8.75770970185951,0.175029702061252,3.5217159106316,3.54907591182807,5.31487407414147,"2022-02-14","30m"
"25","GGA",7.0723355497996,0.487123365335479,20.1679334621603,6.68049675109864,22.0480584350523,"2022-02-14","30m"
"26","CSI",7.15166207104902,2.29280748369374,18.7205749443387,0.371948534930484,17.8424583763811,"2022-02-14","30m"
"27","NGRDI",8.72876861663176,0.959411000907311,4.06027286895154,3.00083024475757,0.403338888940805,"2022-02-14","30m"
"28","NGRDIveg",4.8222424964282,13.2031496296649,6.43929812054186,0.427383068367251,31.3726637909647,"2022-02-14","30m"
"29","TGI",5.87208006397991,6.86894801937392,22.2470405416436,4.18203224778605,0.0288619314410295,"2022-02-14","30m"
"30","TGIveg",1.91159363829744,24.811894043869,3.96814810431867,8.49733284065849,0.0714852956270625,"2022-02-14","30m"
"31","Intensity_15m",2.3416691139113,8.49313591503978,0.464262776312542,0.384120776021281,0.0515497701288037,"2022-02-14","15-30m"
"32","Hue_15m",4.66797164751992,0.462846478894666,1.99410696983898,4.48104326116206,1.00354204538364,"2022-02-14","15-30m"
"33","Saturation_15m",0.28834893037317,0.964122696037646,28.6814877454148,1.0085651722305,1.63599523652662,"2022-02-14","15-30m"
"34","Lightness_15m",2.09244715080252,9.08250962137578,0.466473418954048,0.904725728764312,0.0261349334166555,"2022-02-14","15-30m"
"35","a._15m",4.44299491995611,0.282187179009801,3.75198725848211,5.57032768287973,0.00404286753169872,"2022-02-14","15-30m"
"36","b._15m",1.16889054132037,3.85807915414218,14.995467737727,9.16896429782123,1.38820256437219,"2022-02-14","15-30m"
"37","u._15m",4.28384984811757,0.815682286621984,4.94288027260404,2.77713232953189,0.0154160395619325,"2022-02-14","15-30m"
"38","v._15m",0.966427795979918,8.54558356761281,4.40639562069183,12.2159856517229,0.698733667740025,"2022-02-14","15-30m"
"39","GA_15m",4.74306713360662,1.08397663972859,1.38156041718959,1.74102880949049,0.55627707022991,"2022-02-14","15-30m"
"40","GGA_15m",4.83490774367137,1.21018706136135,0.203575989732434,0.00750553190331995,2.13231537095073,"2022-02-14","15-30m"
"41","CSI_15m",4.16436239282009,2.81310038895323,0.0790750707366248,1.71604353563215,0.157446574011853,"2022-02-14","15-30m"
"42","NGRDI_15m",4.66238153841099,0.441045498113208,3.50045351119002,2.7609470379365,0.0214819954180312,"2022-02-14","15-30m"
"43","NGRDIveg_15m",4.46095354209277,1.73967008663877,1.20611016096092,0.724858316718479,0.165035132635396,"2022-02-14","15-30m"
"44","TGI_15m",4.5471993570245,0.313656790191567,0.220226235841117,10.6566237887894,0.344106688441214,"2022-02-14","15-30m"
