"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",NA,0.804319359220764,0.309644113792016,4.15737924974735e-07,0.564464942143867,0.605414088215247,0.0312940701304187,0.370330499100239,0.0497156030889994,0.603552034997911,0.498183206051048,0.498177212863362,0.381573533706878,0.521507566533643,0.485101963242169,0.0978490073322704
"Intensity",0.804319359220764,NA,5.77315972805081e-15,0.640248976686054,0,3.77475828372553e-15,2.17968851856654e-08,1.86517468137026e-14,1.36175515308423e-10,4.66293670342566e-15,4.44089209850063e-16,8.88178419700125e-16,0,0,2.66409116989053e-12,3.75034137078956e-09
"Hue",0.309644113792016,5.77315972805081e-15,NA,0.257885305859856,1.59428026336172e-13,0,0,0,4.44089209850063e-16,0,0,0,0,0,9.32587340685131e-15,3.0828117836279e-10
"Saturation",4.15737924974735e-07,0.640248976686054,0.257885305859856,NA,0.247646764594043,0.773087163647132,8.1515469694704e-05,0.380077208386649,5.44895700698156e-05,0.161013769137488,0.30502219633319,0.340608820139642,0.427456146602451,0.750581819008008,0.0572523081991525,0.00109089711721877
"Lightness",0.564464942143867,0,1.59428026336172e-13,0.247646764594043,NA,1.14841469667226e-12,2.96324720316932e-09,1.0911271886016e-12,2.29283259045587e-12,1.26565424807268e-13,2.66453525910038e-14,3.28626015289046e-14,9.32587340685131e-15,8.43769498715119e-15,2.95112689840948e-09,7.97327509793888e-07
"a.",0.605414088215247,3.77475828372553e-15,0,0.773087163647132,1.14841469667226e-12,NA,4.16155998550494e-12,0,1.38146383221738e-10,0,0,0,0,0,0,3.77475828372553e-15
"b.",0.0312940701304187,2.17968851856654e-08,0,8.1515469694704e-05,2.96324720316932e-09,4.16155998550494e-12,NA,2.88657986402541e-15,0,2.30926389122033e-14,0,0,1.55431223447522e-15,2.62012633811537e-13,0.000718527140806113,0.0200487013243602
"u.",0.370330499100239,1.86517468137026e-14,0,0.380077208386649,1.0911271886016e-12,0,2.88657986402541e-15,NA,3.17079695832945e-13,0,0,0,0,0,0,8.96283047779889e-12
"v.",0.0497156030889994,1.36175515308423e-10,4.44089209850063e-16,5.44895700698156e-05,2.29283259045587e-12,1.38146383221738e-10,0,3.17079695832945e-13,NA,3.59712259978551e-13,6.43929354282591e-15,7.105427357601e-15,3.68594044175552e-14,2.23865370685417e-12,0.00188637651000856,0.0340076365893422
"GA",0.603552034997911,4.66293670342566e-15,0,0.161013769137488,1.26565424807268e-13,0,2.30926389122033e-14,0,3.59712259978551e-13,NA,0,0,0,0,5.77315972805081e-15,2.40136355245113e-10
"GGA",0.498183206051048,4.44089209850063e-16,0,0.30502219633319,2.66453525910038e-14,0,0,0,6.43929354282591e-15,0,NA,0,0,0,1.33226762955019e-15,5.9597882184903e-11
"CSI",0.498177212863362,8.88178419700125e-16,0,0.340608820139642,3.28626015289046e-14,0,0,0,7.105427357601e-15,0,0,NA,0,0,1.13242748511766e-14,1.65050195732874e-10
"NGRDI",0.381573533706878,0,0,0.427456146602451,9.32587340685131e-15,0,1.55431223447522e-15,0,3.68594044175552e-14,0,0,0,NA,0,0,8.16657852453773e-12
"NGRDIveg",0.521507566533643,0,0,0.750581819008008,8.43769498715119e-15,0,2.62012633811537e-13,0,2.23865370685417e-12,0,0,0,0,NA,0,1.17239551400417e-13
"TGI",0.485101963242169,2.66409116989053e-12,9.32587340685131e-15,0.0572523081991525,2.95112689840948e-09,0,0.000718527140806113,0,0.00188637651000856,5.77315972805081e-15,1.33226762955019e-15,1.13242748511766e-14,0,0,NA,0
"TGIveg",0.0978490073322704,3.75034137078956e-09,3.0828117836279e-10,0.00109089711721877,7.97327509793888e-07,3.77475828372553e-15,0.0200487013243602,8.96283047779889e-12,0.0340076365893422,2.40136355245113e-10,5.9597882184903e-11,1.65050195732874e-10,8.16657852453773e-12,1.17239551400417e-13,0,NA
