"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",NA,2.66453525910038e-15,8.63872084977402e-10,0.925991725183376,2.19824158875781e-14,1.71496601675258e-06,0.0253677770906739,1.20851842457803e-05,0.00101598429500394,8.98021657036452e-11,2.57660559555006e-12,1.06873754290859e-09,8.33698092694846e-06,4.44089209850063e-16,2.22044604925031e-16,0.0925434638610936
"Intensity",2.66453525910038e-15,NA,6.93223256575948e-13,0.21833500870323,0,2.06245016620699e-08,4.93916431432151e-05,8.31692315017563e-09,9.02117669454583e-09,1.45883305435746e-13,6.66133814775094e-15,2.83917334087391e-11,7.20569324208498e-08,3.33066907387547e-15,6.66133814775094e-15,0.653301158042395
"Hue",8.63872084977402e-10,6.93223256575948e-13,NA,2.51719438226772e-06,2.38387087847514e-12,0,5.60573809593734e-12,0,2.08943973234454e-13,0,0,4.9915804822831e-10,0,1.21402132924331e-06,0,0.028179702427827
"Saturation",0.925991725183376,0.21833500870323,2.51719438226772e-06,NA,0.200763586955649,2.51516141247521e-10,0,3.7363445670735e-12,1.16351372980716e-13,1.58327568877681e-06,1.67750986506121e-05,0.0148059378679926,2.79687384363569e-12,0.65845017080921,0.0512772571103592,0
"Lightness",2.19824158875781e-14,0,2.38387087847514e-12,0.200763586955649,NA,3.70553541184648e-08,3.04340342869303e-05,1.09040865226007e-08,3.09553116473182e-09,3.13971071363994e-13,1.64313007644523e-14,3.01001445990323e-11,1.11068084729382e-07,9.32587340685131e-15,1.30118138486068e-13,0.543464048843261
"a.",1.71496601675258e-06,2.06245016620699e-08,0,2.51516141247521e-10,3.70553541184648e-08,NA,0,0,4.44089209850063e-16,0,0,3.80826783441535e-08,0,0.000353135824608497,8.88178419700125e-16,0.000665313920666932
"b.",0.0253677770906739,4.93916431432151e-05,5.60573809593734e-12,0,3.04340342869303e-05,0,NA,0,0,1.88293824976427e-13,6.98574531554641e-12,1.50965137781789e-05,0,0.0910386482335037,0.000144212901239671,2.60236276972137e-13
"u.",1.20851842457803e-05,8.31692315017563e-09,0,3.7363445670735e-12,1.09040865226007e-08,0,0,NA,0,0,0,2.15574860185086e-08,0,0.000698970329458426,6.20392626160537e-13,2.5065315180095e-05
"v.",0.00101598429500394,9.02117669454583e-09,2.08943973234454e-13,1.16351372980716e-13,3.09553116473182e-09,4.44089209850063e-16,0,0,NA,4.44089209850063e-16,5.55111512312578e-15,6.34085890460767e-08,0,0.00347958679837057,9.33640877232023e-06,5.33886268527795e-10
"GA",8.98021657036452e-11,1.45883305435746e-13,0,1.58327568877681e-06,3.13971071363994e-13,0,1.88293824976427e-13,0,4.44089209850063e-16,NA,0,7.28084259549178e-13,0,9.82945522753909e-08,0,0.0151449288518344
"GGA",2.57660559555006e-12,6.66133814775094e-15,0,1.67750986506121e-05,1.64313007644523e-14,0,6.98574531554641e-12,0,5.55111512312578e-15,0,NA,0,0,6.04232219814094e-11,0,0.0298077432388073
"CSI",1.06873754290859e-09,2.83917334087391e-11,4.9915804822831e-10,0.0148059378679926,3.01001445990323e-11,3.80826783441535e-08,1.50965137781789e-05,2.15574860185086e-08,6.34085890460767e-08,7.28084259549178e-13,0,NA,4.39020153564229e-08,0,2.39794966105933e-08,0.0907874410846008
"NGRDI",8.33698092694846e-06,7.20569324208498e-08,0,2.79687384363569e-12,1.11068084729382e-07,0,0,0,0,0,0,4.39020153564229e-08,NA,0.000896959547776577,1.54098955817972e-13,7.61748297257725e-05
"NGRDIveg",4.44089209850063e-16,3.33066907387547e-15,1.21402132924331e-06,0.65845017080921,9.32587340685131e-15,0.000353135824608497,0.0910386482335037,0.000698970329458426,0.00347958679837057,9.82945522753909e-08,6.04232219814094e-11,0,0.000896959547776577,NA,3.1750779783124e-10,0.154097285449588
"TGI",2.22044604925031e-16,6.66133814775094e-15,0,0.0512772571103592,1.30118138486068e-13,8.88178419700125e-16,0.000144212901239671,6.20392626160537e-13,9.33640877232023e-06,0,0,2.39794966105933e-08,1.54098955817972e-13,3.1750779783124e-10,NA,0.588564191352484
"TGIveg",0.0925434638610936,0.653301158042395,0.028179702427827,0,0.543464048843261,0.000665313920666932,2.60236276972137e-13,2.5065315180095e-05,5.33886268527795e-10,0.0151449288518344,0.0298077432388073,0.0907874410846008,7.61748297257725e-05,0.154097285449588,0.588564191352484,NA
