"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",NA,0,0,9.0571736510725e-07,0,0,0.752826431488114,0,0.0139863384715335,0,0,0,0,0,0,0
"Intensity",0,NA,0,3.02532930263055e-07,0,0,0.136791266034671,0,4.91707308163392e-05,0,0,0,0,0,0,0
"Hue",0,0,NA,2.80306197053548e-06,0,0,0.932162291783212,0,0.0704804708029458,0,0,0,0,0,0,0
"Saturation",9.0571736510725e-07,3.02532930263055e-07,2.80306197053548e-06,NA,1.42972609129544e-06,9.12077804393618e-08,2.36268796041106e-05,1.48252503029411e-06,0.230626260557511,8.51970693993565e-07,4.26650373785975e-06,2.35151729430783e-05,1.13127001699631e-06,2.06008482184217e-06,1.59205004734986e-09,1.03814734586649e-11
"Lightness",0,0,0,1.42972609129544e-06,NA,0,0.0689519109196386,0,8.80403465064461e-06,0,0,0,0,0,0,0
"a.",0,0,0,9.12077804393618e-08,0,NA,0.360071725229973,0,0.268855146786924,0,0,0,0,0,0,0
"b.",0.752826431488114,0.136791266034671,0.932162291783212,2.36268796041106e-05,0.0689519109196386,0.360071725229973,NA,0.71122872455209,0,0.720369718091247,0.729867039921491,0.157046545595906,0.978987119339921,0.31026826655293,0.116930750070625,0.0550887802932332
"u.",0,0,0,1.48252503029411e-06,0,0,0.71122872455209,NA,0.114712058955011,0,0,0,0,0,0,0
"v.",0.0139863384715335,4.91707308163392e-05,0.0704804708029458,0.230626260557511,8.80403465064461e-06,0.268855146786924,0,0.114712058955011,NA,0.128628658160189,0.0199522521292903,0.000310322964517606,0.0480455672569553,0.000800887385410842,0.569750535307831,0.648736070046536
"GA",0,0,0,8.51970693993565e-07,0,0,0.720369718091247,0,0.128628658160189,NA,0,0,0,0,0,0
"GGA",0,0,0,4.26650373785975e-06,0,0,0.729867039921491,0,0.0199522521292903,0,NA,0,0,0,0,0
"CSI",0,0,0,2.35151729430783e-05,0,0,0.157046545595906,0,0.000310322964517606,0,0,NA,0,0,0,0
"NGRDI",0,0,0,1.13127001699631e-06,0,0,0.978987119339921,0,0.0480455672569553,0,0,0,NA,0,0,0
"NGRDIveg",0,0,0,2.06008482184217e-06,0,0,0.31026826655293,0,0.000800887385410842,0,0,0,0,NA,0,0
"TGI",0,0,0,1.59205004734986e-09,0,0,0.116930750070625,0,0.569750535307831,0,0,0,0,0,NA,0
"TGIveg",0,0,0,1.03814734586649e-11,0,0,0.0550887802932332,0,0.648736070046536,0,0,0,0,0,0,NA
