"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",NA,4.44089209850063e-16,5.21328724190084e-07,0.159938139438024,0,0.00018763449027337,0.0155817760024781,3.99321440456291e-05,8.3456099235768e-06,8.59312621059871e-14,1.30329569358878e-09,0.00530723819313383,0.00183904434908166,3.53782680866388e-05,1.29544304705576e-06,0.158369839522696
"Intensity",4.44089209850063e-16,NA,2.45116957842129e-08,0.132271720589086,0,3.63678784203181e-05,0.00307478182810539,2.1360481219368e-06,6.54157097379482e-08,6.80344669490296e-13,4.3491565904219e-10,0.00101464435158705,0.00091965500280411,4.19039661916365e-05,1.25535378758812e-07,0.299614730267419
"Hue",5.21328724190084e-07,2.45116957842129e-08,NA,0.104192159129239,1.00900416910576e-07,0,0.000291163016227003,0,0.000113333564585316,0,1.67655418548129e-06,0.225799873395244,0,0.0207895315519941,0,0.00738291583749406
"Saturation",0.159938139438024,0.132271720589086,0.104192159129239,NA,0.13845235139081,4.71170737883497e-05,2.1316282072803e-14,2.53817785877963e-06,7.40075878735702e-06,0.0867669613010251,0.231685161137846,0.285805234039544,1.20159370453621e-07,0.509957145792746,0.748981928479836,0.0145284391961997
"Lightness",0,0,1.00900416910576e-07,0.13845235139081,NA,7.74625988171351e-05,0.00233889247499341,4.29350803798911e-06,2.58761936322571e-08,1.38777878078145e-12,2.99496205613536e-10,0.000757401615563813,0.00151420482131659,2.79191996663819e-05,5.78069600187803e-07,0.326009034489309
"a.",0.00018763449027337,3.63678784203181e-05,0,4.71170737883497e-05,7.74625988171351e-05,NA,1.92248896802028e-08,0,6.8503495298522e-07,2.22044604925031e-16,2.380107204214e-06,0.157546551277125,0,0.0681311321211995,6.66133814775094e-16,0.11341626103033
"b.",0.0155817760024781,0.00307478182810539,0.000291163016227003,2.1316282072803e-14,0.00233889247499341,1.92248896802028e-08,NA,4.9604764740252e-13,0,4.4298191625991e-07,2.34694253276047e-06,0.000595898122705441,8.6260332210486e-11,0.0980023269459891,0.156793063264133,0.0124006239837144
"u.",3.99321440456291e-05,2.1360481219368e-06,0,2.53817785877963e-06,4.29350803798911e-06,0,4.9604764740252e-13,NA,4.14814849136746e-11,0,7.1653866839938e-08,0.0331106828974628,0,0.0408035825338473,2.34274821764302e-11,0.4409356022471
"v.",8.3456099235768e-06,6.54157097379482e-08,0.000113333564585316,7.40075878735702e-06,2.58761936322571e-08,6.8503495298522e-07,0,4.14814849136746e-11,NA,6.10342887341631e-10,3.61161767159501e-10,1.5358160982748e-05,1.38635654511887e-07,0.00294777229682874,0.0546975701161192,0.0396791905226279
"GA",8.59312621059871e-14,6.80344669490296e-13,0,0.0867669613010251,1.38777878078145e-12,2.22044604925031e-16,4.4298191625991e-07,0,6.10342887341631e-10,NA,4.44089209850063e-16,0.000272297068958816,4.88498130835069e-14,2.61019558966957e-06,1.79212200634993e-12,0.283000252597159
"GGA",1.30329569358878e-09,4.3491565904219e-10,1.67655418548129e-06,0.231685161137846,2.99496205613536e-10,2.380107204214e-06,2.34694253276047e-06,7.1653866839938e-08,3.61161767159501e-10,4.44089209850063e-16,NA,2.66453525910038e-15,6.18458009338241e-06,9.12221409521408e-11,0.000160681713828659,0.21183723248564
"CSI",0.00530723819313383,0.00101464435158705,0.225799873395244,0.285805234039544,0.000757401615563813,0.157546551277125,0.000595898122705441,0.0331106828974628,1.5358160982748e-05,0.000272297068958816,2.66453525910038e-15,NA,0.131035024565396,3.08473562249389e-08,0.613170913395981,0.000630052265192527
"NGRDI",0.00183904434908166,0.00091965500280411,0,1.20159370453621e-07,0.00151420482131659,0,8.6260332210486e-11,0,1.38635654511887e-07,4.88498130835069e-14,6.18458009338241e-06,0.131035024565396,NA,0.117002917757724,3.26751958823479e-11,0.31220024524541
"NGRDIveg",3.53782680866388e-05,4.19039661916365e-05,0.0207895315519941,0.509957145792746,2.79191996663819e-05,0.0681311321211995,0.0980023269459891,0.0408035825338473,0.00294777229682874,2.61019558966957e-06,9.12221409521408e-11,3.08473562249389e-08,0.117002917757724,NA,0.0373970979774771,0.501687392100807
"TGI",1.29544304705576e-06,1.25535378758812e-07,0,0.748981928479836,5.78069600187803e-07,6.66133814775094e-16,0.156793063264133,2.34274821764302e-11,0.0546975701161192,1.79212200634993e-12,0.000160681713828659,0.613170913395981,3.26751958823479e-11,0.0373970979774771,NA,0.000137537258443343
"TGIveg",0.158369839522696,0.299614730267419,0.00738291583749406,0.0145284391961997,0.326009034489309,0.11341626103033,0.0124006239837144,0.4409356022471,0.0396791905226279,0.283000252597159,0.21183723248564,0.000630052265192527,0.31220024524541,0.501687392100807,0.000137537258443343,NA
