"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",NA,0,0,2.25904408845956e-06,0,0,0.00985186377153813,0,0,0,0,0,0,0,0,5.32462962610225e-13
"Intensity",0,NA,0,1.50632783135762e-07,0,0,0.0469409115080996,0,0,0,0,0,0,0,0,1.68975944347949e-12
"Hue",0,0,NA,1.41288447570442e-05,0,0,0.00579935361204909,0,0,0,0,0,0,0,0,1.58983937126322e-13
"Saturation",2.25904408845956e-06,1.50632783135762e-07,1.41288447570442e-05,NA,3.28233893398533e-07,1.81605655105166e-05,0.057949649550435,0.00033508475423405,0.000807718975034177,2.41069629951518e-05,1.93347846582093e-05,1.82925948783996e-05,6.55416919626006e-06,5.72820655131423e-07,3.58550242163247e-07,6.49478471004272e-10
"Lightness",0,0,0,3.28233893398533e-07,NA,0,0.0439449402537675,0,0,0,0,0,0,0,0,7.01216862353249e-12
"a.",0,0,0,1.81605655105166e-05,0,NA,0.00384192081263923,0,0,0,0,0,0,0,0,2.66453525910038e-15
"b.",0.00985186377153813,0.0469409115080996,0.00579935361204909,0.057949649550435,0.0439449402537675,0.00384192081263923,NA,0.000363700173429127,0.00310796726305562,0.00583610586176175,0.00584911623082496,0.00660469090150606,0.00825131146758018,0.0208702697352403,0.0113967649981912,0.280513903538063
"u.",0,0,0,0.00033508475423405,0,0,0.000363700173429127,NA,0,0,0,0,0,0,0,4.79616346638068e-14
"v.",0,0,0,0.000807718975034177,0,0,0.00310796726305562,0,NA,0,0,0,0,0,6.21724893790088e-15,1.55675572433012e-07
"GA",0,0,0,2.41069629951518e-05,0,0,0.00583610586176175,0,0,NA,0,0,0,0,0,5.79092329644482e-13
"GGA",0,0,0,1.93347846582093e-05,0,0,0.00584911623082496,0,0,0,NA,0,0,0,0,2.00950367457153e-13
"CSI",0,0,0,1.82925948783996e-05,0,0,0.00660469090150606,0,0,0,0,NA,0,0,0,9.72555369571637e-14
"NGRDI",0,0,0,6.55416919626006e-06,0,0,0.00825131146758018,0,0,0,0,0,NA,0,0,2.33146835171283e-13
"NGRDIveg",0,0,0,5.72820655131423e-07,0,0,0.0208702697352403,0,0,0,0,0,0,NA,0,0
"TGI",0,0,0,3.58550242163247e-07,0,0,0.0113967649981912,0,6.21724893790088e-15,0,0,0,0,0,NA,0
"TGIveg",5.32462962610225e-13,1.68975944347949e-12,1.58983937126322e-13,6.49478471004272e-10,7.01216862353249e-12,2.66453525910038e-15,0.280513903538063,4.79616346638068e-14,1.55675572433012e-07,5.79092329644482e-13,2.00950367457153e-13,9.72555369571637e-14,2.33146835171283e-13,0,0,NA
