"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",NA,0,1.01360011495188e-08,1.65054155676359e-07,0,2.22248467629527e-07,0.000404881170367855,0.00554626005068015,2.70894418008538e-14,0,0,0,2.22044604925031e-15,5.32907051820075e-15,0.00349086667915732,0.262565710752084
"Intensity",0,NA,2.91828828880014e-07,2.89739732148853e-05,0,0.000110664340676081,0.000639572221730944,0.113798751267348,0,0,0,0,2.4127144726549e-11,5.08326714054874e-11,0.136283639977227,0.698534305658162
"Hue",1.01360011495188e-08,2.91828828880014e-07,NA,4.83134816153807e-07,4.27854887541379e-06,4.44089209850063e-16,0.284271805679784,9.34763377813397e-12,2.1904072051715e-06,6.21724893790088e-15,4.44089209850063e-16,8.88178419700125e-16,0,0,1.31103981892977e-07,0.000778077754551632
"Saturation",1.65054155676359e-07,2.89739732148853e-05,4.83134816153807e-07,NA,0.000741318393267854,7.3528549027202e-07,0.0249838364820141,0.00229584526756232,0.0238223228577785,1.22948460301586e-08,1.25866428390964e-09,3.33305871791367e-09,2.01438865587988e-12,3.5225156125307e-12,3.84427681026089e-05,0.000301784268488703
"Lightness",0,0,4.27854887541379e-06,0.000741318393267854,NA,0.00147863494258815,0.00194066481541144,0.282063520645716,0,0,1.16573417585641e-13,1.4477308241112e-13,7.95344856641123e-09,1.44577803062873e-08,0.414732056337467,0.26600987181623
"a.",2.22248467629527e-07,0.000110664340676081,4.44089209850063e-16,7.3528549027202e-07,0.00147863494258815,NA,0.729726359620278,0,0.011241499434625,2.11153317053459e-10,1.98534522155569e-11,2.01696437329701e-11,0,0,0,3.39694050666139e-10
"b.",0.000404881170367855,0.000639572221730944,0.284271805679784,0.0249838364820141,0.00194066481541144,0.729726359620278,NA,0.199686972067823,0.134743014508342,0.0367408243123784,0.0476129156669813,0.0474112919398475,0.321780398354881,0.333328678347521,0.863251392647062,0.938366850193637
"u.",0.00554626005068015,0.113798751267348,9.34763377813397e-12,0.00229584526756232,0.282063520645716,0,0.199686972067823,NA,0.43374724122825,4.29817069536043e-05,3.91406702515695e-06,3.65887099595952e-06,4.44813075262118e-10,2.52609932971382e-10,0,1.33226762955019e-15
"v.",2.70894418008538e-14,0,2.1904072051715e-06,0.0238223228577785,0,0.011241499434625,0.134743014508342,0.43374724122825,NA,7.17870207722626e-13,1.83817849830348e-10,1.8535040169354e-10,3.55062381718341e-07,5.67174598176123e-07,0.953755529307868,0.0315315703461185
"GA",0,0,6.21724893790088e-15,1.22948460301586e-08,0,2.11153317053459e-10,0.0367408243123784,4.29817069536043e-05,7.17870207722626e-13,NA,0,0,0,0,0.000117665991933968,0.0535070333814092
"GGA",0,0,4.44089209850063e-16,1.25866428390964e-09,1.16573417585641e-13,1.98534522155569e-11,0.0476129156669813,3.91406702515695e-06,1.83817849830348e-10,0,NA,0,0,0,8.52129970629889e-06,0.0113194599510584
"CSI",0,0,8.88178419700125e-16,3.33305871791367e-09,1.4477308241112e-13,2.01696437329701e-11,0.0474112919398475,3.65887099595952e-06,1.8535040169354e-10,0,0,NA,0,0,9.16868667433235e-06,0.0119500220948292
"NGRDI",2.22044604925031e-15,2.4127144726549e-11,0,2.01438865587988e-12,7.95344856641123e-09,0,0.321780398354881,4.44813075262118e-10,3.55062381718341e-07,0,0,0,NA,0,3.4210656529865e-09,9.90652367800493e-05
"NGRDIveg",5.32907051820075e-15,5.08326714054874e-11,0,3.5225156125307e-12,1.44577803062873e-08,0,0.333328678347521,2.52609932971382e-10,5.67174598176123e-07,0,0,0,0,NA,1.88822713020897e-09,6.45276271042938e-05
"TGI",0.00349086667915732,0.136283639977227,1.31103981892977e-07,3.84427681026089e-05,0.414732056337467,0,0.863251392647062,0,0.953755529307868,0.000117665991933968,8.52129970629889e-06,9.16868667433235e-06,3.4210656529865e-09,1.88822713020897e-09,NA,0
"TGIveg",0.262565710752084,0.698534305658162,0.000778077754551632,0.000301784268488703,0.26600987181623,3.39694050666139e-10,0.938366850193637,1.33226762955019e-15,0.0315315703461185,0.0535070333814092,0.0113194599510584,0.0119500220948292,9.90652367800493e-05,6.45276271042938e-05,0,NA
