"","dens","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"dens",NA,0,0,1.00923200196945e-06,0,0,0.0621836578408272,0,2.03844767554529e-06,0,0,0,0,0,0,0
"Intensity",0,NA,0,2.60687338382581e-09,0,0,0.0482561278488436,0,1.56619401892044e-08,0,0,0,0,0,0,0
"Hue",0,0,NA,3.20220671312654e-07,0,0,0.166038045937443,0,5.70899540099923e-05,0,0,0,0,0,0,0
"Saturation",1.00923200196945e-06,2.60687338382581e-09,3.20220671312654e-07,NA,3.1529863164792e-09,8.52107304716299e-08,0.00118874726992324,4.54059517540628e-07,0.572050914122135,8.1792956851956e-08,1.72901201356268e-07,3.65343067132429e-07,2.20095208280924e-07,1.14081275537359e-08,7.3500805441995e-10,8.32667268468867e-14
"Lightness",0,0,0,3.1529863164792e-09,NA,0,0.0382183380266805,0,7.48284412210865e-09,0,0,0,0,0,0,0
"a.",0,0,0,8.52107304716299e-08,0,NA,0.334699301424548,0,0.000230232776850858,0,0,0,0,0,0,0
"b.",0.0621836578408272,0.0482561278488436,0.166038045937443,0.00118874726992324,0.0382183380266805,0.334699301424548,NA,0.131598150436265,0,0.171722862552071,0.098367886766918,0.046496761371964,0.179212559552598,0.134105644443809,0.80441325076169,0.303005344377413
"u.",0,0,0,4.54059517540628e-07,0,0,0.131598150436265,NA,2.9398350837484e-05,0,0,0,0,0,0,0
"v.",2.03844767554529e-06,1.56619401892044e-08,5.70899540099923e-05,0.572050914122135,7.48284412210865e-09,0.000230232776850858,0,2.9398350837484e-05,NA,2.61507417005369e-05,5.89021805885714e-06,5.44158194504263e-07,4.91019055850472e-05,2.99555571992016e-06,0.00177351406756499,0.0358179882466341
"GA",0,0,0,8.1792956851956e-08,0,0,0.171722862552071,0,2.61507417005369e-05,NA,0,0,0,0,0,0
"GGA",0,0,0,1.72901201356268e-07,0,0,0.098367886766918,0,5.89021805885714e-06,0,NA,0,0,0,0,0
"CSI",0,0,0,3.65343067132429e-07,0,0,0.046496761371964,0,5.44158194504263e-07,0,0,NA,0,0,0,0
"NGRDI",0,0,0,2.20095208280924e-07,0,0,0.179212559552598,0,4.91019055850472e-05,0,0,0,NA,0,0,0
"NGRDIveg",0,0,0,1.14081275537359e-08,0,0,0.134105644443809,0,2.99555571992016e-06,0,0,0,0,NA,0,0
"TGI",0,0,0,7.3500805441995e-10,0,0,0.80441325076169,0,0.00177351406756499,0,0,0,0,0,NA,0
"TGIveg",0,0,0,8.32667268468867e-14,0,0,0.303005344377413,0,0.0358179882466341,0,0,0,0,0,0,NA
