,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
1,0.001,0.331694444,0.16385879,0.129694481,0.159698426,0.5,0.00719965,0.357142857,0,03/02/2022,15-30m,10,10
2,0.001,0.323628788,0.151189782,0.115713004,0.146783037,0.5,0.00719965,0.379310345,3,03/02/2022,15-30m,10,10
3,0.001,0.494166667,0.360790904,0.147545861,0.176423701,0.5,0.177722456,0.368421053,0,03/02/2022,30m,10,10
4,0.001,0.354119048,0.182158966,0.162421668,0.216516443,0.333333333,0.606925322,0.094339623,4,03/02/2022,30m,10,10
5,0.001,0.473833333,0.339611428,0.156226098,0.187703226,0.75,0.003855555,0.672727273,0,03/02/2022,15m,10,10
6,0.001,0.4355,0.298363395,0.175868137,0.21441819,0.416666667,0.368479286,0.328,3,03/02/2022,15m,10,10
7,0.001,0.325833333,0.150315734,0.153291148,0.186571797,0.5,0.054402232,0.333333333,0,03/05/2022,50m,10,10
8,0.001,0.295,0.111192015,0.160657669,0.205970212,0.333333333,0.351221383,0.157894737,3,03/05/2022,50m,10,10
9,0.001,0.267012626,0.077355044,0.13872109,0.180701289,0.166666667,0.884981629,0.024390244,0,19/01/2022,15-30m,10,10
10,0.001,0.279577561,0.086770876,0.123652505,0.152650311,0.125,0.960198813,-0.070063694,4,19/01/2022,15-30m,10,10
11,0.001,0.47,0.323153816,0.186737601,0.236459954,0.333333333,0.606925322,0.076923077,0,19/01/2022,30m,10,10
12,0.001,0.321666667,0.134308798,0.180075118,0.227025428,0.416666667,0.368479286,0.263157895,4,19/01/2022,30m,10,10
13,0.001,0.3495,0.182493453,0.150857166,0.191483148,0.5,0.054402232,0.362831858,0,19/01/2022,15m,10,10
14,0.001,0.394166667,0.23956486,0.198908004,0.250040345,0.5,0.054402232,0.379310345,4,19/01/2022,15m,10,10
15,0.001,0.703012266,0.626570871,0.126774209,0.158501038,0.583333333,0.002719681,0.458239278,0,09/03/2022,15-30m,10,10
16,0.001,0.64945671,0.5603412,0.130082309,0.162386001,0.625,0.000709078,0.514606742,3,09/03/2022,15-30m,10,10
17,0.001,0.587642857,0.47771639,0.121933137,0.145272477,0.333333333,0.808403993,0.186440678,0,09/03/2022,15m,10,10
18,0.001,0.589214286,0.47846241,0.111389291,0.135046324,0.5,0.379768823,0.379310345,3,09/03/2022,15m,10,10
19,0.001,0.5455,0.421115173,0.113035234,0.136365727,0.333333333,0.606925322,0.244094488,0,09/03/2022,30m,10,10
20,0.001,0.585166667,0.464688537,0.111032674,0.134735831,0.5,0.177722456,0.384615385,2,09/03/2022,30m,10,10
21,0.001,0.244,0.077094073,0.152173184,0.176479055,0.333333333,0.606925322,0.094339623,0,02/06/2022,50m,10,10
22,0.001,0.240833333,0.050749316,0.159375447,0.188682487,0.166666667,0.946048574,0.024390244,2,02/06/2022,50m,10,10
23,0.001,0.81997619,0.769825988,0.121644544,0.154446731,0.5,0.379768823,0.419354839,0,22/03/2022,50m,10,10
24,0.001,0.636119048,0.531631114,0.11907554,0.142735218,0.583333333,0.189264302,0.516129032,2,22/03/2022,50m,10,10
25,0.001,0.770642857,0.705396986,0.140936282,0.18132144,0.5,0.379768823,0.384615385,0,19/04/2022,50m,10,10
26,0.001,0.477047619,0.336690266,0.179511082,0.215019925,0.25,0.932866946,0.162790698,3,19/04/2022,50m,10,10
27,0.001,0.532833333,0.407013431,0.115796539,0.138706733,0.5,0.177722456,0.368421053,0,05/04/2022,50m,10,10
28,0.001,0.5825,0.468167277,0.088012568,0.107854848,0.75,0.003855555,0.678571429,3,05/04/2022,50m,10,10
29,0.001,0.268505037,0.080732344,0.103675761,0.129115603,0.222222222,0.822946169,0.050847458,0,26/05/2022,15-30-50m,10,10
30,0.001,0.218355769,0.021650028,0.090758895,0.113018468,0.333333333,0.282139574,0.161165049,3,26/05/2022,15-30-50m,10,10
31,0.001,0.263714286,0.064300867,0.163767165,0.207036643,0.416666667,0.608374247,0.282051282,0,26/05/2022,50m,10,10
32,0.001,0.157666667,-0.047680791,0.153346874,0.184105389,0.416666667,0.608374247,0.192307692,3,26/05/2022,50m,10,10
33,0.001,0.204833333,0.002397465,0.15294151,0.192182982,0.166666667,0.84161824,0.016393443,0,26/05/2022,15m,10,10
34,0.001,0.278,0.093048582,0.15362949,0.184281472,0.333333333,0.351221383,0.2,3,26/05/2022,15m,10,10
35,0.001,0.169833333,-0.052235955,0.148820559,0.190775418,0.166666667,0.985141386,0.024390244,0,26/05/2022,30m,10,10
36,0.001,0.273833333,0.085659033,0.179165277,0.222922713,0.083333333,0.998447608,-0.064516129,3,26/05/2022,30m,10,10
37,0.001,0.450279221,0.304845679,0.140150956,0.175917119,0.333333333,0.233795831,0.174193548,0,14/02/2022,15-30m,10,10
38,0.001,0.423679293,0.278169633,0.13570925,0.170174781,0.416666667,0.054664922,0.263157895,3,14/02/2022,15-30m,10,10
39,0.001,0.517333333,0.394928118,0.171853956,0.204452628,0.916666667,4.70E-05,0.883495146,0,14/02/2022,15m,10,10
40,0.001,0.512,0.384103117,0.149636297,0.180287752,0.75,0.003855555,0.675675676,3,14/02/2022,15m,10,10
41,0.001,0.55897619,0.429816776,0.16595942,0.212531206,0.333333333,0.606925322,0.261538462,0,14/02/2022,30m,10,10
42,0.001,0.4895,0.353791545,0.164446873,0.203901084,0.166666667,0.946048574,-0.071428571,3,14/02/2022,30m,10,10
43,0.001,0.322018038,0.1511448,0.127041232,0.157090167,0.25,0.577844798,0.084745763,0,03/02/2022,15-30m,10,10
44,0.001,0.358891414,0.196435631,0.139068181,0.170718546,0.291666667,0.392587662,0.179074447,4,03/02/2022,15-30m,10,10
