,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
1,0.001,0.371825815,0.214738037,0.090645436,0.112489859,0.5,0.00719965,0.357142857,0,03/02/2022,15-30m,5,20
2,0.001,0.314804732,0.143120638,0.082610656,0.102233796,0.5,0.00719965,0.379310345,3,03/02/2022,15-30m,5,20
3,0.001,0.44856746,0.305612595,0.117661287,0.147203888,0.5,0.177722456,0.368421053,0,03/02/2022,30m,5,20
4,0.001,0.332698773,0.162040039,0.125510633,0.156494325,0.333333333,0.606925322,0.094339623,4,03/02/2022,30m,5,20
5,0.001,0.51139899,0.380986099,0.115338224,0.140789959,0.75,0.003855555,0.672727273,0,03/02/2022,15m,5,20
6,0.001,0.470833333,0.337750258,0.106386393,0.128041029,0.416666667,0.368479286,0.328,3,03/02/2022,15m,5,20
7,0.001,0.35543254,0.18390779,0.100278854,0.126442944,0.5,0.054402232,0.333333333,0,03/05/2022,50m,5,20
8,0.001,0.322172078,0.149579113,0.118126178,0.141691946,0.333333333,0.351221383,0.157894737,3,03/05/2022,50m,5,20
9,0.001,0.281201238,0.097150691,0.09972843,0.125268786,0.166666667,0.884981629,0.024390244,0,19/01/2022,15-30m,5,20
10,0.001,0.292369134,0.110405731,0.094357489,0.118309596,0.125,0.960198813,-0.070063694,4,19/01/2022,15-30m,5,20
11,0.001,0.438403319,0.284116008,0.13373943,0.169431113,0.333333333,0.606925322,0.076923077,0,19/01/2022,30m,5,20
12,0.001,0.347554113,0.171132451,0.106872398,0.140560245,0.416666667,0.368479286,0.263157895,4,19/01/2022,30m,5,20
13,0.001,0.343924242,0.182009512,0.10705599,0.136080479,0.5,0.054402232,0.362831858,0,19/01/2022,15m,5,20
14,0.001,0.325691558,0.153612916,0.116426032,0.146152723,0.5,0.054402232,0.379310345,4,19/01/2022,15m,5,20
15,0.001,0.695544302,0.617899006,0.101801454,0.12802513,0.583333333,0.002719681,0.458239278,0,09/03/2022,15-30m,5,20
16,0.001,0.669351516,0.585910361,0.086137537,0.107585261,0.625,0.000709078,0.514606742,3,09/03/2022,15-30m,5,20
17,0.001,0.586414141,0.478082553,0.085683342,0.103199941,0.333333333,0.808403993,0.186440678,0,09/03/2022,15m,5,20
