"","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions"
"1",0.5005,0.367692307692308,0.125024240073918,0.161049629756406,0.75,0.00385555499105263,0.678571428571429,0,"2022-02-14","15m",10,10
"2",0.4065,0.253498168498168,0.157738916113195,0.196966104758792,0.333333333333333,0.606925321907793,0.2,3,"2022-02-14","15m",10,10
"3",0.51,0.376515174840935,0.158078387692446,0.194905186331333,0.416666666666667,0.368479285565096,0.3,0,"2022-02-14","30m",10,10
"4",0.381333333333333,0.225612437371058,0.167091713896812,0.204700604648938,0.25,0.818877354212415,-0.00934579439252333,3,"2022-02-14","30m",10,10
"5",0.475666666666667,0.340084863365049,0.191066179825085,0.232336604300499,0.75,0.00385555499105263,0.675675675675676,0,"2022-02-14","15-30m",10,10
"6",0.406333333333333,0.251106921813818,0.191056781095814,0.239909048275332,0.333333333333333,0.606925321907793,0.19327731092437,4,"2022-02-14","15-30m",10,10
"7",0.376,0.224283882783883,0.175878746110306,0.220406275377361,0.416666666666667,0.157643675804138,0.294117647058824,0,"2022-01-19","30m",10,10
"8",0.292,0.1156336996337,0.162480768092719,0.19621143825813,0.333333333333333,0.351221382617951,0.172413793103448,4,"2022-01-19","30m",10,10
"9",0.378,0.217649591485345,0.163125339978833,0.19944283240038,0.333333333333333,0.606925321907793,0.213114754098361,0,"2022-01-19","15m",10,10
"10",0.40452380952381,0.245265898046297,0.181430692363177,0.226376880046423,0.416666666666667,0.368479285565096,0.311475409836066,4,"2022-01-19","15m",10,10
"11",0.366166666666667,0.189704560956285,0.187867933052345,0.234844219458002,0.0833333333333333,0.992292653370741,-0.0393700787401575,0,"2022-01-19","15-30m",10,10
"12",0.372357142857143,0.19942735042735,0.19506347703345,0.239044297320926,0.166666666666667,0.946048573595187,0.0476190476190476,6,"2022-01-19","15-30m",10,10
"13",0.486833333333333,0.356236263736264,0.148492140616653,0.184719728589227,0.5,0.0544022321701049,0.379310344827586,0,"2022-02-03","15m",10,10
"14",0.4055,0.261575091575092,0.167104727338845,0.200426164517996,0.416666666666667,0.157643675804138,0.263157894736842,3,"2022-02-03","15m",10,10
"15",0.417833333333333,0.272903376921526,0.172478710929511,0.211278096987715,0.583333333333333,0.0664476395310109,0.41747572815534,0,"2022-02-03","30m",10,10
"16",0.300666666666667,0.119273324714501,0.163726935901955,0.203384403234133,0.416666666666667,0.368479285565096,0.305785123966942,4,"2022-02-03","30m",10,10
"17",0.437333333333333,0.296456780767126,0.147769043563563,0.187244457465098,0.666666666666667,0.0187584322624713,0.582608695652174,0,"2022-02-03","15-30m",10,10
"18",0.405166666666667,0.253766854667904,0.175005130596589,0.217196726534538,0.333333333333333,0.606925321907793,0.186440677966102,6,"2022-02-03","15-30m",10,10
"19",0.563,0.451190476190476,0.124644950304309,0.149453871935323,0.5,0.0544022321701049,0.4,0,"2022-03-09","15m",10,10
"20",0.5925,0.486666666666667,0.114012005393017,0.141995558015284,0.5,0.0544022321701049,0.4,2,"2022-03-09","15m",10,10
"21",0.615,0.509382835958154,0.151229528764624,0.189944159143038,0.5,0.177722456490937,0.368421052631579,0,"2022-03-09","30m",10,10
"22",0.680666666666667,0.589492931566968,0.136776255643091,0.173209896424968,0.5,0.177722456490937,0.368421052631579,2,"2022-03-09","30m",10,10
"23",0.536,0.404208703534464,0.127804564605521,0.154077124527246,0.666666666666667,0.0187584322624713,0.563636363636364,0,"2022-03-09","15-30m",10,10
"24",0.563333333333333,0.44313263362025,0.129251492728769,0.154511466157579,0.666666666666667,0.0187584322624713,0.563636363636364,3,"2022-03-09","15-30m",10,10
"25",0.1965,0.000251935296088208,0.155885202660579,0.185962337232082,0.166666666666667,0.841618239879608,-0.0526315789473684,0,"2022-06-02","50m",10,10
"26",0.201833333333333,0.00113316381138522,0.155210566216736,0.179295413912874,0.25,0.609324991703033,0.0847457627118644,2,"2022-06-02","50m",10,10
"27",0.284595238095238,0.0730508101046907,0.18518704372736,0.223656514356703,0,1,-0.00699300699300699,0,"2022-05-26","15m",10,10
"28",0.236761904761905,0.0485748988861511,0.168875055037807,0.211050032084367,0.25,0.93286694602593,0.0526315789473684,3,"2022-05-26","15m",10,10
"29",0.367666666666667,0.203208351396181,0.207001737713445,0.254742367044671,0.25,0.609324991703033,0.136,0,"2022-05-26","50m",10,10
"30",0.166666666666667,-0.0286899299530879,0.135130979400413,0.156665011521916,0.0833333333333333,0.968323647975922,-0.0731707317073171,3,"2022-05-26","50m",10,10
"31",0.148761904761905,-0.0524074164862907,0.14388617676878,0.171192198613599,0.416666666666667,0.368479285565096,0.2,0,"2022-05-26","30m",10,10
"32",0.210785714285714,0.00196607863681033,0.151455014692569,0.196950518663737,0.25,0.818877354212415,0.0181818181818182,3,"2022-05-26","30m",10,10
"33",0.336761904761905,0.172282051282051,0.169408262473816,0.206247342250073,0.333333333333333,0.606925321907793,0.157894736842105,0,"2022-05-26","15-30-50m",10,10
"34",0.240666666666667,0.0265274806388824,0.173177863454231,0.223987783892965,0.166666666666667,0.946048573595187,0.0625,5,"2022-05-26","15-30-50m",10,10
"35",0.627333333333333,0.52446059497837,0.114946920849558,0.13892655256196,0.416666666666667,0.368479285565096,0.288135593220339,0,"2022-03-22","50m",10,10
"36",0.629,0.526715142709324,0.0977760559995329,0.117331342280766,0.416666666666667,0.368479285565096,0.3,3,"2022-03-22","50m",10,10
"37",0.690666666666667,0.610286292654714,0.124052412803357,0.153843233766468,0.583333333333333,0.0664476395310109,0.487179487179487,0,"2022-04-19","50m",10,10
"38",0.511166666666667,0.380835195858789,0.121000667833536,0.147680870499031,0.333333333333333,0.606925321907793,0.2,3,"2022-04-19","50m",10,10
"39",0.472166666666667,0.337021687729492,0.144270583011002,0.175797033782648,0.666666666666667,0.00278151035308838,0.567567567567568,0,"2022-04-05","50m",10,10
"40",0.499166666666667,0.366431528579602,0.125894665856555,0.15395754030395,0.5,0.0544022321701049,0.368421052631579,4,"2022-04-05","50m",10,10
"41",0.422,0.266420792254731,0.205860816197115,0.276561984617477,0.5,0.177722456490937,0.36283185840708,0,"2022-05-03","50m",10,10
"42",0.228833333333333,0.0266360291755029,0.172504737324953,0.223543430319196,0.166666666666667,0.946048573595187,0.024390243902439,3,"2022-05-03","50m",10,10
"43",0.67447619047619,0.584168409764203,0.183999458251249,0.229945351862164,0.25,0.93286694602593,0.0357142857142857,0,"2022-02-14","15m",10,10
"44",0.466785714285714,0.336694440619044,0.145221485972598,0.15673267587219,0.416666666666667,0.608374246704568,0.176470588235294,3,"2022-02-14","15m",10,10
