,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
341,0.001,0.489419192,0.35912151,0.106518437,0.132119091,0.666666667,0.018758432,0.571428571,0,03/02/2022,15m,5,10
342,0.001,0.518474747,0.392744,0.120349622,0.153073933,0.333333333,0.606925322,0.2,3,03/02/2022,15m,5,10
343,0.001,0.444585859,0.288647679,0.11686371,0.140089107,0.083333333,0.992292653,-0.03125,0,03/05/2022,50m,5,10
344,0.001,0.353232323,0.178804394,0.111107457,0.134250203,0.333333333,0.606925322,0.193277311,2,03/05/2022,50m,5,10
345,0.001,0.298839599,0.116148194,0.094375343,0.116317657,0.041666667,0.999987378,-0.159663866,0,19/01/2022,15-30m,5,10
346,0.001,0.325218881,0.148999278,0.118873933,0.148849755,0.291666667,0.854674206,0.120689655,4,19/01/2022,15-30m,5,10
347,0.001,0.341121212,0.183813599,0.109511741,0.130262198,0.166666667,0.946048574,-0.071428571,0,19/01/2022,30m,5,10
348,0.001,0.365287879,0.211692851,0.110648766,0.139224107,0.166666667,0.946048574,-0.043478261,4,19/01/2022,30m,5,10
349,0.001,0.40510101,0.253282694,0.102733608,0.123915423,0.333333333,0.606925322,0.102803738,0,19/01/2022,15m,5,10
350,0.001,0.421292929,0.264883425,0.132097073,0.163604464,0.416666667,0.368479286,0.282051282,4,19/01/2022,15m,5,10
351,0.001,0.621129982,0.52582775,0.087663033,0.109122531,0.75,4.54E-06,0.676404494,0,09/03/2022,15-30m,5,10
352,0.001,0.6720875,0.588917172,0.078711195,0.099377167,0.833333333,5.75E-08,0.785714286,3,09/03/2022,15-30m,5,10
353,0.001,0.570383117,0.454969431,0.074482998,0.086930708,0.666666667,0.018758432,0.542857143,0,09/03/2022,15m,5,10
354,0.001,0.579984848,0.466113193,0.082064432,0.099162327,0.666666667,0.018758432,0.559633028,2,09/03/2022,15m,5,10
355,0.001,0.52511039,0.398037698,0.074953524,0.089202014,0.666666667,0.018758432,0.542857143,0,09/03/2022,30m,5,10
356,0.001,0.525499278,0.396653052,0.071679844,0.092373291,0.666666667,0.018758432,0.542857143,2,09/03/2022,30m,5,10
357,0.001,0.23780303,0.058975614,0.097124734,0.125705469,0.416666667,0.368479286,0.275862069,0,02/06/2022,50m,5,10
358,0.001,0.234368687,0.0469997,0.109488659,0.129158403,0,1,-0.125,2,02/06/2022,50m,5,10
359,0.001,0.717424242,0.641335954,0.113106371,0.144298283,0.583333333,0.06644764,0.487179487,0,22/03/2022,50m,5,10
360,0.001,0.70969697,0.630784956,0.089826492,0.115632764,0.583333333,0.06644764,0.487179487,3,22/03/2022,50m,5,10
361,0.001,0.647606061,0.555713936,0.087674944,0.111008028,0.5,0.177722456,0.357142857,0,19/04/2022,50m,5,10
