,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
175,0.001,0.355,0.196485294,0.13560834,0.167263634,NA,NA,NA,0,03/05/2022,50m,10,10
176,0.001,0.446650794,0.307040123,0.210297458,0.2581655,NA,NA,NA,3,03/05/2022,50m,10,10
177,0.001,0.346279221,0.182688179,0.138866081,0.171987497,NA,NA,NA,0,19/01/2022,15-30m,10,10
178,0.001,0.342669997,0.178439129,0.134527058,0.165299613,NA,NA,NA,4,19/01/2022,15-30m,10,10
179,0.001,0.35772619,0.196834822,0.148895501,0.183229508,NA,NA,NA,0,19/01/2022,30m,10,10
180,0.001,0.346452381,0.181212665,0.165267869,0.205983076,NA,NA,NA,4,19/01/2022,30m,10,10
181,0.001,0.480238095,0.347921856,0.182596217,0.225100937,NA,NA,NA,0,19/01/2022,15m,10,10
182,0.001,0.430690476,0.287593885,0.189157183,0.233864198,NA,NA,NA,4,19/01/2022,15m,10,10
183,0.001,0.670085581,0.585853823,0.106791211,0.133981423,NA,NA,NA,0,09/03/2022,15-30m,10,10
184,0.001,0.659832168,0.572093487,0.122095676,0.152196741,NA,NA,NA,3,09/03/2022,15-30m,10,10
185,0.001,0.723186508,0.651669017,0.177691141,0.220627756,NA,NA,NA,0,09/03/2022,15m,10,10
186,0.001,0.76352381,0.699827001,0.151659106,0.190622353,NA,NA,NA,2,09/03/2022,15m,10,10
187,0.001,0.736035714,0.666904998,0.165673176,0.207557243,NA,NA,NA,0,09/03/2022,30m,10,10
188,0.001,0.776916667,0.717752676,0.154393584,0.193809921,NA,NA,NA,2,09/03/2022,30m,10,10
189,0.001,0.148595238,-0.056196119,0.132753409,0.164186335,NA,NA,NA,0,02/06/2022,50m,10,10
190,0.001,0.180047619,-0.019637708,0.135419577,0.164137589,NA,NA,NA,2,02/06/2022,50m,10,10
191,0.001,0.862607143,0.826715315,0.116513566,0.145655464,NA,NA,NA,0,22/03/2022,50m,10,10
192,0.001,0.846761905,0.80504288,0.142924475,0.181656563,NA,NA,NA,2,22/03/2022,50m,10,10
193,0.001,0.679107143,0.600247615,0.13033364,0.156336296,NA,NA,NA,0,19/04/2022,50m,10,10
194,0.001,0.475357143,0.348190865,0.162946481,0.195569847,NA,NA,NA,3,19/04/2022,50m,10,10
195,0.001,0.779714286,0.722055335,0.134164966,0.166594794,NA,NA,NA,0,05/04/2022,50m,10,10
196,0.001,0.729702381,0.657970074,0.13144877,0.164723014,NA,NA,NA,4,05/04/2022,50m,10,10
197,0.001,0.257277047,0.072294025,0.078897769,0.098867193,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
198,0.001,0.301065531,0.127614081,0.095786281,0.118976898,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
199,0.001,0.345785714,0.18178564,0.189541388,0.233424916,NA,NA,NA,0,26/05/2022,50m,10,10
200,0.001,0.170785714,-0.034373084,0.119555365,0.145612916,NA,NA,NA,3,26/05/2022,50m,10,10
201,0.001,0.252333333,0.063869357,0.151725959,0.187303991,NA,NA,NA,0,26/05/2022,15m,10,10
202,0.001,0.154503968,-0.055321861,0.117619424,0.143864399,NA,NA,NA,3,26/05/2022,15m,10,10
203,0.001,0.201785714,0.007027326,0.148580873,0.183907756,NA,NA,NA,0,26/05/2022,30m,10,10
204,0.001,0.227690476,0.036185396,0.144373726,0.181365271,NA,NA,NA,3,26/05/2022,30m,10,10
205,0.001,0.525818681,0.405788566,0.127251143,0.158374875,NA,NA,NA,0,14/02/2022,15-30m,10,10
206,0.001,0.476486347,0.343046485,0.126562177,0.157101388,NA,NA,NA,3,14/02/2022,15-30m,10,10
207,0.001,0.651412698,0.565303387,0.161647388,0.195984584,NA,NA,NA,0,14/02/2022,15m,10,10
208,0.001,0.581559524,0.476761557,0.209855294,0.260481401,NA,NA,NA,3,14/02/2022,15m,10,10
209,0.001,0.571797619,0.459780779,0.194254899,0.241321357,NA,NA,NA,0,14/02/2022,30m,10,10
210,0.001,0.315440476,0.147723499,0.158160273,0.197664371,NA,NA,NA,3,14/02/2022,30m,10,10
211,0.001,0.367498668,0.208697132,0.119855157,0.148760733,NA,NA,NA,0,03/02/2022,15-30m,10,10
212,0.001,0.379422244,0.224973962,0.11913897,0.147779621,NA,NA,NA,3,03/02/2022,15-30m,10,10
213,0.001,0.43577381,0.296926453,0.159601897,0.195595179,NA,NA,NA,0,03/02/2022,30m,10,10
