"","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions"
"1",0.316386363636364,0.137396140306327,0.122050219460244,0.155808479249641,0.5,0.146172158749852,0.376623376623377,0,"2022-02-03","15-30m",10,10
"2",0.301174242424242,0.125542244088344,0.145242737378537,0.18033425844882,0.625,0.0113284637034718,0.525274725274725,3,"2022-02-03","15-30m",10,10
"3",0.451904761904762,0.318133193772646,0.185402607196013,0.220462212478253,0.333333333333333,0.808403992861572,0.142857142857143,0,"2022-02-03","30m",10,10
"4",0.341666666666667,0.184241263694353,0.166321190760744,0.187502021061667,0.583333333333333,0.189264302375606,0.354838709677419,4,"2022-02-03","30m",10,10
"5",0.4425,0.305059564961011,0.168464628598007,0.202588876651272,0.75,0.0205594977242384,0.666666666666667,0,"2022-02-03","15m",10,10
"6",0.390190476190476,0.226561775703726,0.141425113689242,0.176090777681049,0.583333333333333,0.189264302375606,0.411764705882353,3,"2022-02-03","15m",10,10
"7",0.495,0.356506231316576,0.16686015704469,0.214100158489481,0.5,0.177722456490937,0.409836065573771,0,"2022-05-03","50m",10,10
"8",0.388166666666667,0.22646873594242,0.208682132256771,0.261495848396586,0.5,0.177722456490937,0.389830508474576,3,"2022-05-03","50m",10,10
"9",0.287959595959596,0.108524908178231,0.121944991596846,0.151969426097834,0.291666666666667,0.736817870261949,0.139240506329114,0,"2022-01-19","15-30m",10,10
"10",0.292969696969697,0.112428144232525,0.146102129390864,0.184622290093418,0.375,0.405533925566264,0.232409381663113,4,"2022-01-19","15-30m",10,10
"11",0.398,0.247176348709711,0.206465091224886,0.256227463433117,0.5,0.177722456490937,0.368421052631579,0,"2022-01-19","30m",10,10
"12",0.348166666666667,0.183529994834856,0.167420768737674,0.203584563987657,0.25,0.818877354212415,0.0847457627118644,4,"2022-01-19","30m",10,10
"13",0.258857142857143,0.060353156767553,0.119474980875594,0.147003505634556,0.333333333333333,0.927001953125,0.135135135135135,0,"2022-01-19","15m",10,10
"14",0.386309523809524,0.210511988414892,0.21248303125581,0.280766833810691,0.666666666666667,0.19384765625,0.515151515151515,4,"2022-01-19","15m",10,10
"15",0.675426767676768,0.591302755565603,0.118492785448436,0.149449848810355,0.708333333333333,3.07770276819497e-06,0.627494456762749,0,"2022-03-09","15-30m",10,10
"16",0.710065656565657,0.635331878770732,0.113835867792394,0.143235947997264,0.541666666666667,0.00209404742253838,0.429805615550756,3,"2022-03-09","15-30m",10,10
"17",0.616,0.504944570754916,0.158289822127012,0.200833916163949,0.583333333333333,0.0664476395310109,0.454545454545455,0,"2022-03-09","15m",10,10
"18",0.630166666666667,0.530941964151289,0.165648319885933,0.198659082977499,0.583333333333333,0.0664476395310109,0.428571428571429,2,"2022-03-09","15m",10,10
"19",0.686166666666667,0.60034942182001,0.152422543851946,0.190839382451651,0.75,0.00385555499105263,0.657142857142857,0,"2022-03-09","30m",10,10
