"","mincriterion","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"234",0.05,0.847861111,0.80741699,0.134891264,0.168809194,NA,NA,NA,2,"22/03/2022","50m",10,10,"cv1010","nosplit_trainonly"
"235",0.05,0.655027778,0.571106035,0.132239245,0.160705727,NA,NA,NA,0,"19/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"236",0.05,0.515464286,0.395820826,0.172029894,0.210267138,NA,NA,NA,3,"19/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"237",0.05,0.716845238,0.64344612,0.122934779,0.150228262,NA,NA,NA,0,"05/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"238",0.05,0.69440873,0.613205031,0.143610506,0.178102308,NA,NA,NA,4,"05/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"239",0.05,0.248203173,0.062974366,0.096496864,0.118155903,NA,NA,NA,0,"26/05/2022","15-30-50m",10,10,"cv1010","nosplit_trainonly"
"240",0.05,0.268807663,0.087419264,0.097714693,0.121588299,NA,NA,NA,3,"26/05/2022","15-30-50m",10,10,"cv1010","nosplit_trainonly"
"241",0.05,0.332952381,0.173011697,0.160955352,0.198452263,NA,NA,NA,0,"26/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"242",0.05,0.184416667,-0.00522424,0.133321425,0.158158486,NA,NA,NA,3,"26/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"243",0.05,0.179583333,0.000562703,0.074740895,0.088829685,NA,NA,NA,0,"26/05/2022","15m",10,10,"cv1010","nosplit_trainonly"
"244",0.05,0.211083333,0.023518735,0.129016552,0.156815219,NA,NA,NA,3,"26/05/2022","15m",10,10,"cv1010","nosplit_trainonly"
"245",0.05,0.216797619,0.028877047,0.134321829,0.166693982,NA,NA,NA,0,"26/05/2022","30m",10,10,"cv1010","nosplit_trainonly"
"246",0.05,0.273369048,0.110524853,0.118176303,0.143180392,NA,NA,NA,3,"26/05/2022","30m",10,10,"cv1010","nosplit_trainonly"
"247",0.05,0.556988012,0.444604274,0.143071016,0.178002076,NA,NA,NA,0,"14/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"248",0.05,0.440038129,0.300718818,0.123750121,0.152103899,NA,NA,NA,3,"14/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"249",0.05,0.700420635,0.620539642,0.15233726,0.191206472,NA,NA,NA,0,"14/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"250",0.05,0.554047619,0.440937355,0.156944319,0.192943568,NA,NA,NA,3,"14/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"251",0.05,0.509190476,0.384923822,0.160934912,0.198342084,NA,NA,NA,0,"14/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"252",0.05,0.389488095,0.235579829,0.144363258,0.175374713,NA,NA,NA,3,"14/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"253",0.05,0.37379687,0.214462236,0.122684723,0.152664219,NA,NA,NA,0,"03/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"254",0.05,0.365780886,0.205453561,0.099970311,0.124444511,NA,NA,NA,3,"03/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"255",0.05,0.473797619,0.339727352,0.158550629,0.195140705,NA,NA,NA,0,"03/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"256",0.05,0.339035714,0.176456028,0.178352463,0.217599362,NA,NA,NA,4,"03/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"257",0.05,0.5525,0.439545988,0.158415769,0.196240996,NA,NA,NA,0,"03/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"258",0.05,0.508150794,0.38223092,0.177308078,0.219383943,NA,NA,NA,3,"03/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"259",0.05,0.465416667,0.332141639,0.156221644,0.191252821,NA,NA,NA,0,"03/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"260",0.05,0.271416667,0.086909228,0.134120633,0.163528299,NA,NA,NA,3,"03/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"261",0.05,0.320943889,0.150665463,0.121704244,0.149458343,NA,NA,NA,0,"19/01/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"262",0.05,0.314498002,0.145285926,0.126923028,0.156568325,NA,NA,NA,4,"19/01/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"263",0.05,0.38847619,0.235963632,0.165269853,0.20390231,NA,NA,NA,0,"19/01/2022","30m",10,10,"cv1010","nosplit_trainonly"
"264",0.05,0.381638889,0.222144685,0.157090222,0.196251928,NA,NA,NA,4,"19/01/2022","30m",10,10,"cv1010","nosplit_trainonly"
"265",0.05,0.297142857,0.130282911,0.131611116,0.158094299,NA,NA,NA,0,"19/01/2022","15m",10,10,"cv1010","nosplit_trainonly"
"266",0.05,0.432714286,0.285941026,0.182865438,0.22770457,NA,NA,NA,4,"19/01/2022","15m",10,10,"cv1010","nosplit_trainonly"
