"","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions"
"1",0.6325,0.534615384615385,0.136584417230894,0.175369953236608,0.666666666666667,0.0187584322624713,0.571428571428571,0,"2022-02-14","15m",10,10
"2",0.538,0.41775641025641,0.16331787187178,0.205849416471854,0.666666666666667,0.0187584322624713,0.571428571428571,3,"2022-02-14","15m",10,10
"3",0.53,0.408288487576146,0.204453776686435,0.249269932638448,0.5,0.177722456490937,0.357142857142857,0,"2022-02-14","30m",10,10
"4",0.4835,0.348909203822997,0.157589427340249,0.197382217416594,0.25,0.818877354212415,0.0357142857142857,3,"2022-02-14","30m",10,10
"5",0.591833333333333,0.483683365653954,0.161650004348048,0.201667166098763,0.833333333333333,0.000543804486292928,0.785714285714286,0,"2022-02-14","15-30m",10,10
"6",0.429666666666667,0.287501894657067,0.145962881372272,0.182385324160346,0.416666666666667,0.368479285565096,0.305785123966942,4,"2022-02-14","15-30m",10,10
"7",0.4635,0.325095238095238,0.184617403996985,0.23010135623649,0.416666666666667,0.157643675804138,0.3,0,"2022-01-19","30m",10,10
"8",0.3795,0.220934065934066,0.166832493262196,0.206956089601468,0.416666666666667,0.157643675804138,0.3,4,"2022-01-19","30m",10,10
"9",0.320166666666667,0.145670432212415,0.175126938089046,0.214824075607208,0.333333333333333,0.606925321907793,0.111111111111111,0,"2022-01-19","15m",10,10
"10",0.382952380952381,0.218550400550187,0.141959146504228,0.173197513333356,0.333333333333333,0.606925321907793,0.127272727272727,4,"2022-01-19","15m",10,10
"11",0.437833333333333,0.28873572179944,0.188440570166959,0.228411992341312,0.0833333333333333,0.992292653370741,-0.1,0,"2022-01-19","15-30m",10,10
"12",0.276690476190476,0.0941079753579753,0.142056153929482,0.168566967371887,0.333333333333333,0.606925321907793,0.0857142857142857,6,"2022-01-19","15-30m",10,10
"13",0.487666666666667,0.356401098901099,0.147626564999673,0.184988448125953,0.416666666666667,0.157643675804138,0.282051282051282,0,"2022-02-03","15m",10,10
"14",0.437,0.299399267399267,0.153020101670178,0.182260917093128,0.583333333333333,0.014252781867981,0.473684210526316,3,"2022-02-03","15m",10,10
"15",0.421833333333333,0.274714631728425,0.160083714771769,0.202726690920238,0.583333333333333,0.0664476395310109,0.491525423728814,0,"2022-02-03","30m",10,10
"16",0.3285,0.162735126942023,0.195046614475058,0.241890755871245,0.416666666666667,0.368479285565096,0.3,4,"2022-02-03","30m",10,10
"17",0.4935,0.366812744726538,0.185257654170433,0.231525980482061,0.666666666666667,0.0187584322624713,0.582608695652174,0,"2022-02-03","15-30m",10,10
"18",0.423333333333333,0.278972148541114,0.17404541636732,0.215069700413506,0.416666666666667,0.368479285565096,0.305785123966942,6,"2022-02-03","15-30m",10,10
"19",0.615,0.517179487179487,0.156266413279348,0.194088448588405,0.75,0.000391662120819092,0.692307692307692,0,"2022-03-09","15m",10,10
"20",0.6955,0.617692307692308,0.146006607018071,0.181644543827863,0.583333333333333,0.014252781867981,0.482758620689655,2,"2022-03-09","15m",10,10
"21",0.710333333333333,0.633410996142394,0.141714291856093,0.176665589447172,0.5,0.177722456490937,0.368421052631579,0,"2022-03-09","30m",10,10
"22",0.755166666666667,0.691349795211491,0.156646517079478,0.194626630504732,0.5,0.177722456490937,0.368421052631579,2,"2022-03-09","30m",10,10
"23",0.575666666666667,0.458849995235658,0.175241055718766,0.217288942886847,0.666666666666667,0.0187584322624713,0.555555555555555,0,"2022-03-09","15-30m",10,10
"24",0.687333333333333,0.599929531987768,0.181944849255468,0.231921204856277,1,1.88167642315892e-06,1,3,"2022-03-09","15-30m",10,10
"25",0.243666666666667,0.0585211240866413,0.153700701767772,0.178727881138326,0.25,0.609324991703033,0.0357142857142857,0,"2022-06-02","50m",10,10
"26",0.2405,0.0455305797650625,0.175318453235515,0.206854822141633,0.166666666666667,0.841618239879608,0,2,"2022-06-02","50m",10,10
"27",0.216690476190476,-0.00228113386915565,0.0904714404717529,0.110446153814658,0,1,0,0,"2022-05-26","15m",10,10
"28",0.214071428571429,0.0162616973251961,0.145277356524014,0.18150283993777,0.166666666666667,0.985141386354961,-0.0344827586206897,3,"2022-05-26","15m",10,10
"29",0.294333333333333,0.10717661249821,0.151927754701731,0.186650781340823,0.166666666666667,0.841618239879608,-0.0434782608695652,0,"2022-05-26","50m",10,10
"30",0.174833333333333,-0.0279937499957784,0.153238424001123,0.185231942914138,0.25,0.609324991703033,0.129032258064516,3,"2022-05-26","50m",10,10
"31",0.205380952380952,0.00389216431176503,0.160224073782228,0.194510515661085,0.25,0.818877354212415,0.0847457627118644,0,"2022-05-26","30m",10,10
"32",0.24052380952381,0.0386451506650236,0.168044187062556,0.206364346709267,0.25,0.818877354212415,0.15625,3,"2022-05-26","30m",10,10
"33",0.222761904761905,0.0229957264957265,0.148195634181704,0.18131472693398,0.333333333333333,0.606925321907793,0.213114754098361,0,"2022-05-26","15-30-50m",10,10
"34",0.265333333333333,0.0741866806271405,0.178418668025203,0.220922037661374,0.166666666666667,0.946048573595187,0.0769230769230769,5,"2022-05-26","15-30-50m",10,10
"35",0.607333333333333,0.499733051383927,0.152372188901444,0.191511980599041,0.666666666666667,0.0187584322624713,0.578947368421053,0,"2022-03-22","50m",10,10
"36",0.775666666666667,0.712544702018739,0.122941410224235,0.156136964912971,0.666666666666667,0.0187584322624713,0.6,3,"2022-03-22","50m",10,10
"37",0.707666666666667,0.632664835164835,0.147070533632931,0.178836311527599,0.5,0.177722456490937,0.394957983193277,0,"2022-04-19","50m",10,10
