mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.735321429,0.665347963,0.173514335,0.217614684,NA,NA,NA,0,09/03/2022,15m,10,10
0.05,0.713059524,0.639358684,0.159856972,0.199028959,NA,NA,NA,2,09/03/2022,15m,10,10
0.05,0.731547619,0.662391606,0.164026056,0.204892865,NA,NA,NA,0,09/03/2022,30m,10,10
0.05,0.751460317,0.687582208,0.159669149,0.198602756,NA,NA,NA,2,09/03/2022,30m,10,10
0.05,0.292380952,0.124516939,0.120187067,0.137312913,NA,NA,NA,0,02/06/2022,50m,10,10
0.05,0.138107143,-0.068714997,0.112697332,0.135073258,NA,NA,NA,2,02/06/2022,50m,10,10
0.05,0.757452381,0.691752852,0.17465151,0.219790208,NA,NA,NA,0,22/03/2022,50m,10,10
0.05,0.845940476,0.805078812,0.132339076,0.166245782,NA,NA,NA,2,22/03/2022,50m,10,10
0.05,0.658789683,0.574561506,0.127415173,0.155967727,NA,NA,NA,0,19/04/2022,50m,10,10
0.05,0.50852381,0.385086965,0.174120391,0.218609346,NA,NA,NA,3,19/04/2022,50m,10,10
0.05,0.714416667,0.639789679,0.130411878,0.161487016,NA,NA,NA,0,05/04/2022,50m,10,10
0.05,0.70356746,0.628574146,0.157122941,0.193730654,NA,NA,NA,4,05/04/2022,50m,10,10
0.05,0.243696035,0.05737367,0.08562594,0.106198907,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
0.05,0.290355349,0.113069567,0.086893985,0.10882023,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
0.05,0.316202381,0.153808277,0.162971553,0.19606869,NA,NA,NA,0,26/05/2022,50m,10,10
0.05,0.203583333,0.012697285,0.147731545,0.180626332,NA,NA,NA,3,26/05/2022,50m,10,10
0.05,0.184238095,0.008251766,0.081384679,0.09705363,NA,NA,NA,0,26/05/2022,15m,10,10
0.05,0.175190476,-0.025800956,0.136889413,0.165750758,NA,NA,NA,3,26/05/2022,15m,10,10
0.05,0.227599206,0.040017361,0.123182718,0.147149907,NA,NA,NA,0,26/05/2022,30m,10,10
0.05,0.261742063,0.097038979,0.118494722,0.143836123,NA,NA,NA,3,26/05/2022,30m,10,10
0.05,0.532473693,0.413911071,0.137451506,0.171608652,NA,NA,NA,0,14/02/2022,15-30m,10,10
