"","contrast","estimate","SE","df","t.ratio","p.value"
"41","(02/06/2022_50m_PC_7030split) - (14/02/2022_15m_PC_8020split)",-0.150000000200006,0.0467348944886798,756,-3.20959321383167,1
"42","(02/06/2022_50m_PC_7030split) - (14/02/2022_15m_var_7030split)",-0.300000000100013,0.0467348944886807,756,-6.41918642124407,8.42951903823492e-07
"43","(02/06/2022_50m_PC_7030split) - (14/02/2022_15m_var_8020split)",-0.366666666900006,0.0467348944886798,756,-7.84567229500906,5.1241802585055e-11
"44","(02/06/2022_50m_PC_7030split) - (14/02/2022_30m_PC_7030split)",-0.116666666700008,0.0467348944886799,756,-2.49635027480948,1
"45","(02/06/2022_50m_PC_7030split) - (14/02/2022_30m_PC_8020split)",-0.0916666669000071,0.0467348944886802,756,-1.96141807749689,1
"46","(02/06/2022_50m_PC_7030split) - (14/02/2022_30m_var_7030split)",-0.316666666800002,0.0467348944886793,756,-6.77580788968527,8.6780662395057e-08
"47","(02/06/2022_50m_PC_7030split) - (14/02/2022_30m_var_8020split)",-0.366666666800008,0.04673489448868,756,-7.84567229286933,5.12418033930185e-11
"48","(02/06/2022_50m_PC_7030split) - (19/01/2022_15-30m_PC_7030split)",-0.133333333400007,0.0467348944886799,756,-2.85297174325071,1
"49","(02/06/2022_50m_PC_7030split) - (19/01/2022_15-30m_PC_8020split)",-0.104166666800006,0.0467348944886796,756,-2.22888417615316,1
"50","(02/06/2022_50m_PC_7030split) - (19/01/2022_15-30m_var_7030split)",-0.138888889000004,0.0467348944886792,756,-2.97184556677768,1
"51","(02/06/2022_50m_PC_7030split) - (19/01/2022_15-30m_var_8020split)",-0.175000000200007,0.0467348944886799,756,-3.74452541542369,0.677892927885438
"52","(02/06/2022_50m_PC_7030split) - (19/01/2022_15m_PC_7030split)",-0.188888889100002,0.046734894488679,756,-4.04170997210142,0.203912853642707
"53","(02/06/2022_50m_PC_7030split) - (19/01/2022_15m_PC_8020split)",-0.141666666900007,0.0467348944886799,756,-3.03128248068093,1
"54","(02/06/2022_50m_PC_7030split) - (19/01/2022_15m_var_7030split)",-0.161111111200006,0.0467348944886797,756,-3.44734085660621,1
"55","(02/06/2022_50m_PC_7030split) - (19/01/2022_15m_var_8020split)",-0.141666666700008,0.04673489448868,756,-3.03128247640149,1
"56","(02/06/2022_50m_PC_7030split) - (19/01/2022_30m_PC_7030split)",-0.161111111200009,0.0467348944886802,756,-3.44734085660624,1
"57","(02/06/2022_50m_PC_7030split) - (19/01/2022_30m_PC_8020split)",-0.108333333500006,0.0467348944886799,756,-2.3180395437984,1
"58","(02/06/2022_50m_PC_7030split) - (19/01/2022_30m_var_7030split)",-0.227777777900007,0.0467348944886798,756,-4.87382672823151,0.00465114970184375
"59","(02/06/2022_50m_PC_7030split) - (19/01/2022_30m_var_8020split)",-0.183333333500007,0.0467348944886799,756,-3.92283614857446,0.332840251397763
"60","(02/06/2022_50m_PC_7030split) - (19/04/2022_50m_PC_7030split)",-0.388888889100002,0.0467348944886796,756,-8.32116758483752,1.4140223445855e-12
"61","(02/06/2022_50m_PC_7030split) - (19/04/2022_50m_PC_8020split)",-0.325000000200006,0.0467348944886799,756,-6.95411862497577,2.67805384826603e-08
"62","(02/06/2022_50m_PC_7030split) - (19/04/2022_50m_var_7030split)",-0.472222222300003,0.0467348944886797,756,-10.1042749206246,4.65144410038478e-19
"63","(02/06/2022_50m_PC_7030split) - (19/04/2022_50m_var_8020split)",-0.441666666800007,0.04673489448868,756,-9.45046889764534,1.43588530872417e-16
"64","(02/06/2022_50m_PC_7030split) - (22/03/2022_50m_PC_7030split)",-0.588888888900006,0.04673489448868,756,-12.6006251932942,1.22108009038362e-29
"65","(02/06/2022_50m_PC_7030split) - (22/03/2022_50m_PC_8020split)",-0.658333333500005,0.0467348944886799,756,-14.0865479788227,1.20672065864313e-36
"66","(02/06/2022_50m_PC_7030split) - (22/03/2022_50m_var_7030split)",-0.627777777700009,0.04673489448868,756,-13.4327419494243,1.66777664274484e-33
"67","(02/06/2022_50m_PC_7030split) - (22/03/2022_50m_var_8020split)",-0.658333333600006,0.0467348944886799,756,-14.0865479809624,1.20672062968925e-36
"68","(02/06/2022_50m_PC_7030split) - (26/05/2022_15-30-50m_PC_7030split)",0.028316498099996,0.0467348944886795,756,0.605896266800282,1
