"","contrast","estimate","SE","df","t.ratio","p.value"
"43","(09/03/2022_15-30m_var_7030split) - (09/03/2022_15-30m_var_8020split)",0.0208333333000001,0.043654056536539,144,0.477237053160509,0.999999988910494
"44","(09/03/2022_15-30m_var_7030split) - (09/03/2022_15m_PC_7030split)",0.0388888888000004,0.043654056536539,144,0.89084249862209,0.999944232141317
"45","(09/03/2022_15-30m_var_7030split) - (09/03/2022_15m_var_7030split)",-0.0499999999999999,0.043654056536539,144,-1.1453689294178,0.998837929044026
"46","(09/03/2022_15-30m_var_7030split) - (09/03/2022_30m_PC_7030split)",0.0333333333000004,0.043654056536539,144,0.763579285514966,0.999992489199221
"47","(09/03/2022_15-30m_var_7030split) - (09/03/2022_30m_PC_8020split)",3.50414142147315e-16,0.043654056536539,144,8.02706941688258e-15,1
"48","(09/03/2022_15-30m_var_7030split) - (09/03/2022_30m_var_7030split)",-0.0722222220999996,0.0436540565365389,144,-1.65442178413703,0.954828206750318
"49","(09/03/2022_15-30m_var_7030split) - (09/03/2022_30m_var_8020split)",-0.0416666667999996,0.043654056536539,144,-0.95447411090248,0.999867429710986
"50","(09/03/2022_15-30m_var_7030split) - (19/04/2022_50m_var_7030split)",0.0277777778000002,0.043654056536539,144,0.636316072407838,0.999999364823854
"51","(09/03/2022_15-30m_var_7030split) - (22/03/2022_50m_PC_7030split)",-0.0888888887999996,0.043654056536539,144,-2.03621142803988,0.800730563435448
"52","(09/03/2022_15-30m_var_7030split) - (22/03/2022_50m_PC_8020split)",-0.1583333334,0.043654056536539,144,-3.6270016113502,0.0326918959810613
"53","(09/03/2022_15-30m_var_7030split) - (22/03/2022_50m_var_7030split)",-0.1277777776,0.043654056536539,144,-2.92705392666196,0.215129316522001
"54","(09/03/2022_15-30m_var_7030split) - (22/03/2022_50m_var_8020split)",-0.1583333335,0.043654056536539,144,-3.62700161364094,0.0326918957466836
"55","(09/03/2022_15-30m_var_8020split) - (09/03/2022_15m_PC_7030split)",0.0180555555000003,0.0436540565365389,144,0.413605445461583,0.999999998586728
"56","(09/03/2022_15-30m_var_8020split) - (09/03/2022_15m_var_7030split)",-0.0708333333,0.0436540565365389,144,-1.62260598257831,0.961620375137388
