"","mtry","date","alt","PC","OOB","X35","X70","X140","X280","X560","Accuracy_test","AccuracyPValue_test","Kappa_test","split"
"58",1,"09/03/2022","15-30m",3,0.392857143,0.6,0.588235294,0.176470588,0.315789474,0.3125,0.638888889,9.47e-07,0.546950629,"7030split"
"59",1,"09/03/2022","15-30m",3,0.333333333,0.277777778,0.6,0.176470588,0.263157895,0.4,0.611111111,4.79e-06,0.511627907,"7030split"
"60",1,"09/03/2022","15-30m",3,0.345238095,0.333333333,0.625,0.1875,0.466666667,0.157894737,0.694444444,2.62e-08,0.616650532,"7030split"
"61",1,"09/03/2022","15-30m",3,0.285714286,0.444444444,0.444444444,0.166666667,0.3125,0.05,0.666666667,4.45e-05,0.579766537,"7030split"
"62",1,"09/03/2022","15-30m",3,0.464285714,0.928571429,0.526315789,0.277777778,0.411764706,0.25,0.722222222,3.92e-08,0.652173913,"7030split"
"63",1,"09/03/2022","15-30m",3,0.333333333,0.263157895,0.625,0.157894737,0.294117647,0.384615385,0.611111111,0.000145881,0.506849315,"7030split"
"64",1,"09/03/2022","15-30m",3,0.392857143,0.315789474,0.6875,0.294117647,0.375,0.3125,0.722222222,2.39e-10,0.650145773,"7030split"
"65",1,"09/03/2022","15-30m",3,0.297619048,0.333333333,0.4,0.125,0.388888889,0.25,0.694444444,2.62e-08,0.609467456,"7030split"
"66",1,"19/01/2022","15m",3,0.642857143,0.6,0.75,0.777777778,0.875,0.142857143,0.5,0.037600683,0.364705882,"7030split"
"67",1,"03/02/2022","15m",3,0.476190476,0.75,1,0.333333333,0.375,0.1,0.555555556,0.01200716,0.446153846,"7030split"
"68",1,"03/02/2022","15m",3,0.404761905,0.555555556,0.714285714,0.181818182,0.714285714,0,0.5,0.037600683,0.376923077,"7030split"
"69",1,"03/02/2022","15m",3,0.428571429,0.333333333,1,0.444444444,0.5,0.1,0.722222222,0.000852596,0.6484375,"7030split"
"70",1,"03/02/2022","15m",3,0.357142857,0.714285714,0.625,0.285714286,0.2,0.1,0.388888889,0.210733886,0.201612903,"7030split"
"71",1,"03/02/2022","15m",3,0.523809524,0.75,0.833333333,0.5,0.5,0.125,0.555555556,0.043348066,0.462686567,"7030split"
"72",1,"03/02/2022","15m",3,0.452380952,0.5,0.875,0.285714286,0.5,0.111111111,0.5,0.037600683,0.376923077,"7030split"
"73",1,"03/02/2022","15m",3,0.5,0.857142857,0.888888889,0.3,0.333333333,0.142857143,0.5,0.037600683,0.381679389,"7030split"
"74",1,"03/02/2022","15m",3,0.380952381,0.444444444,0.857142857,0.333333333,0.25,0.111111111,0.444444444,0.097489527,0.315589354,"7030split"
