"","ID","N","mean_OOB","sd_OOB","mean_accuracy","sd_accuracy","mean_accpval","sd_accpval","mean_kappa","sd_kappa","lsmean","SE","df","lower.CL","upper.CL"
"1","02/06/2022_50m_PC_7030split",10,0.7333333333,0.0734287842206924,0.2333333332,0.149988568180748,0.6918140602,0.310681224793092,0.0638185491,0.182435261008151,0.233333333199989,0.0330465608109838,756,0.168459403177029,0.298207263222949
"2","02/06/2022_50m_PC_8020split",10,0.7895833334,0.0632287757807187,0.2583333334,0.120761472930916,0.7016567062,0.26137471527034,0.0858760381,0.147532194394183,0.258333333399998,0.0330465608109827,756,0.19345940337704,0.323207263422956
"3","02/06/2022_50m_var_7030split",10,0.8142857144,0.0612706637501338,0.1777777779,0.110492102746183,0.8526398133,0.186971137504445,0.0030509102,0.143513013163278,0.177777777899996,0.033046560810983,756,0.112903847877037,0.242651707922954
"4","02/06/2022_50m_var_8020split",10,0.7895833332,0.062461407895072,0.225,0.104305463174985,0.7781571086,0.195308257703307,0.0576062254,0.122584725890358,0.224999999999995,0.033046560810983,756,0.160126069977036,0.289873930022953
"5","03/02/2022_15-30m_PC_7030split",10,0.6047619047,0.0557818519873292,0.35,0.0819849762701631,0.3567845737,0.277853906209542,0.1988264165,0.103299247820425,0.349999999999983,0.033046560810983,756,0.285126069977025,0.414873930022942
"6","03/02/2022_15-30m_PC_8020split",10,0.5770833333,0.0303496853106715,0.4333333334,0.0946077021340568,0.1758848309,0.289349242923048,0.2889977337,0.121698502668771,0.433333333400005,0.033046560810983,756,0.368459403377047,0.498207263422964
"7","03/02/2022_15-30m_var_7030split",10,0.6011904761,0.0364777309404018,0.4222222222,0.0677889083372259,0.1435709896,0.213900039911637,0.2864966962,0.0819211875632755,0.422222222200005,0.0330465608109835,756,0.357348292177046,0.487096152222965
"8","03/02/2022_15-30m_var_8020split",10,0.565625,0.0476213728812242,0.4916666667,0.0937885722328764,0.1447523366,0.26227086152575,0.3596464695,0.115833130273472,0.491666666699988,0.0330465608109829,756,0.42679273667703,0.556540596722947
"9","03/02/2022_15m_PC_7030split",10,0.4476190476,0.0547561533607338,0.5222222223,0.0876456264413322,0.0516980884,0.0622449136513879,0.4023959201,0.114570695838887,0.522222222299996,0.033046560810983,756,0.457348292277037,0.587096152322954
"10","03/02/2022_15m_PC_8020split",10,0.51875,0.0576430721105813,0.5833333334,0.16197088594887,0.1851872542,0.302120578760854,0.4704829708,0.205469330956571,0.583333333399996,0.0330465608109829,756,0.518459403377037,0.648207263422954
"11","03/02/2022_15m_var_7030split",10,0.4309523809,0.0850725534810277,0.5444444443,0.135577816465014,0.0734592075,0.114243421300649,0.4277498033,0.171265492812908,0.544444444300013,0.0330465608109835,756,0.479570514277054,0.609318374322973
"12","03/02/2022_15m_var_8020split",10,0.4250000001,0.0493006648873353,0.575,0.12076147303826,0.1460240659,0.198999190157763,0.4514620051,0.139781285788469,0.575000000000005,0.0330465608109832,756,0.510126069977046,0.639873930022963
"13","03/02/2022_30m_PC_7030split",10,0.6523809524,0.0478828668957037,0.35,0.0787853605676875,0.4544543432,0.236596109582435,0.1949025639,0.0935585571574036,0.349999999999998,0.0330465608109832,756,0.28512606997704,0.414873930022957
"14","03/02/2022_30m_PC_8020split",10,0.6770833334,0.0521989457434573,0.3166666666,0.10243938275637,0.6381345196,0.185412814511037,0.1552213243,0.124605195195589,0.316666666599997,0.0330465608109828,756,0.251792736577039,0.381540596622955
"15","03/02/2022_30m_var_7030split",10,0.6023809524,0.0645253225750477,0.3833333332,0.0552460513060512,0.3179725166,0.218632802048845,0.2358876054,0.0739514029111459,0.383333333199991,0.0330465608109831,756,0.318459403177033,0.44820726322295
"16","03/02/2022_30m_var_8020split",10,0.6020833333,0.0676504383808212,0.4083333333,0.154410467903404,0.4574458576,0.332965834161403,0.2608017131,0.183110526550161,0.408333333299996,0.0330465608109831,756,0.343459403277037,0.473207263322954
"17","03/05/2022_50m_PC_7030split",10,0.611904762,0.0683185371846738,0.3388888889,0.0960466848855463,0.4289700845,0.295317103157578,0.1852635532,0.112499181038456,0.33888888889999,0.0330465608109832,756,0.274014958877031,0.403762818922949
"18","03/05/2022_50m_PC_8020split",10,0.6354166666,0.0383519478757494,0.2916666667,0.148292753469215,0.7459799025,0.309150471596077,0.1168771482,0.188411175265486,0.2916666667,0.033046560810983,756,0.226792736677041,0.356540596722958
"19","03/05/2022_50m_var_7030split",10,0.5595238095,0.098008643124523,0.3499999998,0.101599012674366,0.4157066615,0.344395373385259,0.2041936301,0.113081575960001,0.349999999799993,0.0330465608109832,756,0.285126069777034,0.414873929822951
"20","03/05/2022_50m_var_8020split",10,0.5958333332,0.0370080904234483,0.325,0.0997682499781554,0.6970552827,0.281045492407721,0.1432196362,0.129817533263713,0.324999999999994,0.033046560810983,756,0.260126069977035,0.389873930022952
"21","05/04/2022_50m_PC_7030split",10,0.3071428572,0.0677630928149373,0.7111111113,0.0819849762024,0.0022560118,0.0037810976672112,0.6310042584,0.1021520689978,0.711111111299993,0.033046560810983,756,0.646237181277035,0.775985041322952
"22","05/04/2022_50m_PC_8020split",10,0.2895833333,0.0454847857296302,0.6833333332,0.102439382882913,0.0999764266,0.255084116355277,0.585072809,0.133137932440927,0.6833333332,0.0330465608109828,756,0.618459403177041,0.748207263222958
"23","05/04/2022_50m_var_7030split",10,0.2142857142,0.0388807896068678,0.7888888888,0.100751633272782,0.00041297455,0.000982451783930569,0.7329175707,0.123245225453011,0.788888888800009,0.0330465608109832,756,0.72401495877705,0.853762818822968
"24","05/04/2022_50m_var_8020split",10,0.1958333334,0.0343030253047997,0.7750000001,0.104305462970813,0.0676893851,0.1982497976966,0.7018833584,0.140403101338801,0.775000000099998,0.033046560810983,756,0.710126070077039,0.839873930122957
"25","09/03/2022_15-30m_PC_7030split",10,0.3583333333,0.0545400381981354,0.661111111,0.0552460512278377,0.0001778994839,0.000495673822330966,0.5731243229,0.0685126633326876,0.661111111000004,0.0330465608109834,756,0.596237180977045,0.725985041022964
"26","09/03/2022_15-30m_PC_8020split",10,0.3562499999,0.0392222812558574,0.5916666667,0.0805076484519282,0.0132413887,0.0218579027415484,0.4850355017,0.0995214805143597,0.591666666699988,0.0330465608109829,756,0.52679273667703,0.656540596722946
"27","09/03/2022_15-30m_var_7030split",10,0.2916666667,0.0417138810357325,0.7333333333,0.0602919281348402,9.332302000632e-07,2.72734291225381e-06,0.6639212778,0.076304895386888,0.733333333300003,0.0330465608109832,756,0.668459403277044,0.798207263322962
"28","09/03/2022_15-30m_var_8020split",10,0.2958333332,0.0326462756487561,0.7125,0.084368569768693,0.000673332326,0.00123823223662028,0.6329599417,0.108088732058796,0.712499999999991,0.0330465608109829,756,0.647626069977033,0.77737393002295
"29","09/03/2022_15m_PC_7030split",10,0.3666666666,0.0920087412341461,0.6944444445,0.120725970384338,0.013575654639,0.0334808980294401,0.6140615705,0.155062809217296,0.694444444499995,0.0330465608109834,756,0.629570514477036,0.759318374522954
"30","09/03/2022_15m_PC_8020split",10,0.3145833334,0.0964503085838813,0.675,0.144070027575756,0.082691766,0.127807996704336,0.5864974306,0.185592182571023,0.675000000000001,0.0330465608109831,756,0.610126069977042,0.73987393002296
